GS	GeneList	Qvalues	Direction
REACTOME_REGULATION_OF_BETA_CELL_DEVELOPMENT	AKT3 AKT1 AKT2 FGF10 FOXO1 NR5A2 PTF1A GCK FOXA2 FOXA3 HNF4A HNF4G ONECUT1 HES1 IAPP RBPJ INS INSM1 PDX1 MAFA ONECUT3 NEUROD1 NKX2-2 NKX6-1 NEUROG3 PAX6 PKLR SLC2A2 HNF1A HNF1B	0.009185363	DN
REACTOME_FATTY_ACID_TRIACYLGLYCEROL_AND_KETONE_BODY_METABOLISM	MED6 MED16 CDK8 YAP1 NCOA2 AGPAT1 AGPAT2 PPARGC1A GLIPR1 MED8 APOA5 PLIN2 PPARGC1B CPT1A CPT1B CPT2 AGPAT6 CREBBP CTGF GPAT2 CYP1A1 CYP4A11 CYP7A1 ECI1 DECR1 AGT ECHS1 ABCA1 EP300 ESRRA ALAS1 FABP1 ACSL1 ACSL3 ACSL4 FASN MED19 FDFT1 FHL2 NCOA6 CDK19 GPD1L LPIN1 ACSL6 SIN3B MED13L LCLAT1 LPCAT4 WWTR1 SIN3A TIAM2 ANKRD1 GK TNFRSF21 GPD1 GPD2 MED4 GRHL1 HADHA HADHB HADH ACACA HMGCL HMGCR HMGCS1 HMGCS2 ACACB ACADL APOA1 APOA2 ACADM ACADS ACADVL SLC27A1 ACAT1 FADS1 MED11 ARNTL ME1 MUT ACLY NFYA NFYB NPAS2 NRF1 OXCT1 G0S2 PCCA PCCB ACOX1 MED31 ANGPTL4 HSD17B12 PRKAG2 MED15 ACSL5 ABCB4 UGT1A9 PPARA PPARG MED1 MED18 ELOVL2 MED9 AGPAT5 MED29 PRKAA2 PRKAB2 AGPAT3 AGPAT4 GPAM TRIB3 ELOVL5 RORA BDH1 RXRA ELOVL1 LPIN3 SLC25A1 SMARCD3 SREBF1 SREBF2 ELOVL4 SULT2A1 MED22 TBL1X TEAD1 TEAD4 TEAD3 TXNRD1 SLC25A20 ELOVL6 TBL1XR1 LPCAT1 ELOVL7 MED25 NCOA3 ELOVL3 MED10 TEAD2 DGAT2 MCEE AGPAT9 PRIC285 NCOA1 DGAT1 PEX11A HDAC3 CCNC MED30 MED14 MED21 MED23 MED17 MED26 MED27 MED7 MED20 CD36 TECR NR1D1 CLOCK NCOR1 NCOR2 LPIN2 TGS1 MED24 MED12	0.009472405	DN
KEGG_SMALL_CELL_LUNG_CANCER	CASP9 MAX E2F1 CHUK LAMA1 RARB PIAS3 FN1 BIRC3 XIAP ITGA3 ITGA2B COL4A6 PTK2 COL4A1 COL4A2 PTGS2 NOS2 COL4A4 RXRB RXRG IKBKB RXRA RB1 SKP2 AKT1 AKT2 PIAS2 ITGAV LAMC2 ITGB1 AKT3 LAMB2 LAMB3 LAMC1 LAMA4 LAMA5 LAMB1 NFKB1 NFKBIA MYC PIK3R5 PIAS1 IKBKG LAMB4 RELA APAF1 CDKN1B LAMA3 LAMA2 TRAF6 TRAF5 TRAF3 CDKN2B TRAF2 FHIT TRAF1 ITGA6 CCND1 PTEN ITGA2 TRAF4 PIK3R3 BCL2 BCL2L1 BIRC2 CDK2 PIAS4 CDK4 LAMC3 TP53 E2F3 E2F2 PIK3CA PIK3CB CCNE2 CYCS CDK6 PIK3CD PIK3CG CCNE1 PIK3R1 CKS1B PIK3R2	0.009715287	UP
REACTOME_DIABETES_PATHWAYS	CTDSP2 PREB PDIA6 HYOU1 EXOC5 IGF2BP1 IGF2BP3 IGF2BP2 YIF1A PDIA5 KDELR3 EXOC3 EXOSC8 KLHDC3 ADD1 EXOSC6 TPP1 CPE SLC30A7 EXOC8 CTSG DCTN1 DDIT3 DDX11 DCP2 EIF2S1 ERN1 EXTL3 F2 SEC31A DIS3 ATF6 EXOSC7 EXOSC2 SEC11A GCG GH1 SERP1 SPCS1 GSK3A ERO1L HDGF CXXC1 HSPA5 IGF2 IGFALS IGFBP1 IGFBP2 IGFBP3 IGFBP4 IGFBP5 IGFBP6 KLK3 IL8 INS ACADVL KIF5B LEP LMNA DNAJB9 MMP1 MMP2 ASNS DDX12P SULT1A4 MYO5A ATF3 ATF4 NFYA NFYB PAPPA PARN EXOSC3 EXOSC1 PCSK1 PCSK2 MBTPS2 DNAJB11 GHRL PLG EXOSC9 EXOSC4 EXOC6 FKBP14 WIPI1 PPP2R5B ARFGAP1 EXOC1 EXOC2 C19orf10 DNAJC3 EXOSC5 SRPRB RAB27A BCHE EXOC4 SPCS3 PAPPA2 MBOAT4 CCL2 TSPYL2 ATF4P3 LOC644556 SHC1 SLC30A5 LOC653566 SNAP25 SRPR SSR1 STX1A SULT1A3 VAMP2 TLN1 HSP90B1 LOC730136 WFS1 XBP1 ZBTB17 PLA2G7 CALR SYVN1 KHSRP MBTPS1 SEC11C ATP6V0D1 KLF4 EIF2AK3 GOSR2 EDEM1 HERPUD1 SPCS2 TATDN2 CUL7	0.010825606	DN
BIOCARTA_CELLCYCLE_PATHWAY	CCND1 E2F1 TFDP1 CDK2 CDKN2A CDK4 RB1 CDKN1B CDKN1A CDK1 CDKN2D CCNA1 CDKN2B CDK6 CDKN2C CDK7 CDC25A RBL1 CCND2 CCNB1 CCNE1 CCNH CCND3	0.013419241	UP
REACTOME_CYTOSOLIC_TRNA_AMINOACYLATION	FARSB AARS DARS EPRS FARSA GARS HARS IARS KARS MARS NARS LARS PPA1 QARS RARS SARS TARS VARS WARS AIMP2 CARS YARS AIMP1 EEF1E1	0.013419241	UP
KEGG_PROSTATE_CANCER	CASP9 SOS2 E2F1 CHUK RAF1 IGF1 CREB3L4 MTOR CREB3L1 PDGFD NKX3-1 IGF1R GSTP1 CREB3 CREBBP LEF1 BAD INS PDGFRB ERBB2 MAP2K2 TGFA BRAF MAP2K1 FGFR2 PDPK1 IKBKB MDM2 RB1 CREB1 AKT1 AKT2 FGFR1 AKT3 NRAS GRB2 CREB5 MAPK3 TCF7 NFKB1 INSRR NFKBIA SOS1 TCF7L2 MAPK1 PIK3R5 IKBKG HRAS EP300 EGFR RELA PDGFC GSK3B KRAS CDKN1B EGF CDKN1A CTNNB1 HSP90AA1 ARAF AR CREB3L3 HSP90B1 SRD5A2 CREB3L2 CCND1 PTEN PIK3R3 BCL2 PDGFA PDGFB TCF7L1 FOXO1 PDGFRA CDK2 HSP90AB1 TP53 E2F3 E2F2 PIK3CA PIK3CB CCNE2 PIK3CD KLK3 ATF4 PIK3CG CCNE1 PIK3R1 PIK3R2	0.014033193	UP
KEGG_ACUTE_MYELOID_LEUKEMIA	SOS2 CHUK STAT3 ZBTB16 RAF1 RARA PML JUP MTOR CEBPA LEF1 EIF4EBP1 BAD PIM2 MAP2K2 BRAF MAP2K1 KIT FLT3 SPI1 IKBKB AKT1 AKT2 RPS6KB1 NRAS AKT3 RPS6KB2 LOC652671 GRB2 STAT5B MAPK3 TCF7 STAT5A NFKB1 MYC SOS1 TCF7L2 MAPK1 RUNX1 PIK3R5 IKBKG HRAS LOC652799 RUNX1T1 RELA KRAS LOC652346 CCNA1 ARAF CCND1 PIK3R3 TCF7L1 PPARD PIK3CA PIK3CB PIM1 PIK3CD PIK3CG PIK3R1 PIK3R2	0.014033193	DN
KEGG_GLYCEROLIPID_METABOLISM	MBOAT2 GPAM LIPG DGKZ DGKE DGKD DGKH MBOAT1 GK DGAT2 GK2 GLA ALDH7A1 AGK DAK AGPAT3 AWAT2 AGPAT4 AKR1B1 PNLIPRP2 PNLIPRP1 PNLIP DGAT1 GLYCTK LPL ALDH1B1 DGKQ ALDH2 DGKB DGKG AKR1A1 DGKA PPAP2B LIPC DGKI LCLAT1 AGPAT9 MGLL AGPAT6 ALDH9A1 ALDH3A2 PNPLA3 PPAP2A PPAP2C AGPAT1 AGPAT2 CEL GPAT2 LIPF	0.014208608	UP
ST_GA13_PATHWAY	RDX NFKBIA AKT1 TBXA2R NFKBIB AKT3 PIK3CB NFKB2 PLD1 PDK1 MAP2K4 AKT2 CDC42 SRF BCL2 MAP3K1 PTK2 IKBKG SERPINA4 TONSL NFKBIE CFB PLD3 ARHGEF11 ROCK2 LPA DLG4 ROCK1 GNA13 MAP3K5 PI3 PRKD1 NFKB1 PLD2 NFKBIL1 MAPK8 PHKA2	0.014208608	UP
PID_NFKAPPAB_CANONICAL_PATHWAY	CYLD UBE2D3 TNFAIP3 NFKBIA XPO1 MALT1 BIRC2 TRAF6 NOD2 PRKCA RELA RAN TNF IKBKG NFKB1 SSPO IKBKB RIPK2 BCL10 CHUK ATM ERC1 TNFRSF1A	0.017140543	DN
REACTOME_KINESINS	KIF20A KIF2C KLC3 KIFAP3 KIF4A KIF26A KIF4B RACGAP1 KIF2A KIF3C KIF5A KIF5B KLC1 KIF11 KIFC1 KIF22 KIF15 KIF9 KLC2 KIF18A KIF2B KLC4 KIF3B KIF23	0.020954109	UP
BIOCARTA_RNA_PATHWAY	CHUK RELA MAP3K14 EIF2S2 EIF2S1 NFKB1 DNAJC3 NFKBIA EIF2AK2 TP53	0.02447038	UP
ST_GAQ_PATHWAY	NFKBIA AKT1 VN1R1 NFKBIB AKT3 ITPR2 PIK3CB NFKB2 ITPKB ITPR1 PLD1 GNAQ PDK1 AKT2 IKBKG TONSL NFKBIE PITX2 ADRBK1 CFB PLD3 NFKB1 PLD2 ITPKA NFKBIL1 ITPR3 DAG1 PHKA2	0.02447038	DN
REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_BETA_CELLS	AKT3 AKT1 AKT2 FOXO1 GCK FOXA2 FOXA3 HNF4A HNF4G IAPP INS PDX1 MAFA NEUROD1 NKX2-2 NKX6-1 PAX6 PKLR SLC2A2 HNF1A	0.025764942	UP
REACTOME_POTASSIUM_CHANNELS	HCN4 ABCC9 KCNK7 KCNMB2 KCNH8 KCNV2 KCNG3 KCNH4 KCNH3 GABBR1 KCNG2 KCNV1 KCNMB3 KCNH5 KCNMB4 GNB1 GNB2 GNB3 GNG3 GNG4 GNG5 GNG7 GNG10 GNGT1 GNGT2 KCNK18 HCN1 KCNA1 KCNA2 KCNA3 KCNA4 KCNA5 KCNA6 KCNA7 KCNA10 KCNB1 KCNC1 KCNC2 KCNC3 KCNC4 KCND1 KCND2 KCND3 KCNF1 KCNG1 KCNH1 KCNH2 KCNJ1 KCNJ2 KCNJ3 KCNJ4 KCNJ5 KCNJ6 KCNJ8 KCNJ9 KCNJ10 KCNJ11 KCNJ12 KCNJ14 KCNJ15 KCNJ16 KCNK1 KCNK2 KCNK3 KCNMB1 KCNN1 KCNN2 KCNN3 KCNN4 KCNQ1 KCNQ2 KCNQ3 KCNS1 KCNS2 KCNS3 KCNK4 KCNK9 KCNK10 GNG2 GNG12 KCNQ5 KCNK13 HCN3 HCN2 ABCC8 KCNAB1 KCNH6 KCNK16 KCNAB2 KCNK17 KCNH7 KCNQ4 KCNAB3 KCNG4 KCNB2 GNG8 KCNK6 GABBR2	0.030846038	UP
REACTOME_UNFOLDED_PROTEIN_RESPONSE	CTDSP2 PREB PDIA6 HYOU1 YIF1A PDIA5 KDELR3 EXOSC8 KLHDC3 ADD1 EXOSC6 TPP1 DCTN1 DDIT3 DDX11 DCP2 EIF2S1 ERN1 EXTL3 SEC31A DIS3 ATF6 EXOSC7 EXOSC2 SERP1 GSK3A HDGF CXXC1 HSPA5 IGFBP1 IL8 ACADVL LMNA DNAJB9 ASNS DDX12P SULT1A4 ATF3 ATF4 NFYA NFYB PARN EXOSC3 EXOSC1 MBTPS2 DNAJB11 EXOSC9 EXOSC4 FKBP14 WIPI1 PPP2R5B ARFGAP1 C19orf10 DNAJC3 EXOSC5 SRPRB CCL2 TSPYL2 ATF4P3 SHC1 SRPR SSR1 SULT1A3 TLN1 HSP90B1 LOC730136 WFS1 XBP1 ZBTB17 CALR SYVN1 KHSRP MBTPS1 ATP6V0D1 EIF2AK3 GOSR2 EDEM1 HERPUD1 TATDN2 CUL7	0.034147436	DN
REACTOME_G1_PHASE	CDK4 CDK6 CDK7 CDKN1A CDKN1B CDKN2A CDKN2B CDKN2C CDKN2D CKS1B E2F1 E2F2 E2F3 E2F4 E2F5 PPP2R3B MNAT1 LOC441488 PPP2CA PPP2CB PPP2R1A PPP2R1B PPP2R2A RB1 RBL1 RBL2 CCND1 RPS27A SKP1 SKP2 TFDP1 RPS27AP11 LOC729964 UBA52 CUL1 CCND2 CCND3 CCNH	0.034281086	DN
PID_NOTCH_PATHWAY	NCOR1 NOTCH1 DTX1 FURIN SSPO DLL1 DNM1 PTCRA RAB11A NEURL CTBP1 FBXW7 NUMB CBL MFAP2 MYCBP DLL4 MAML1 SPEN MYC SKP2 CNTN6 NOTCH2 PSEN1 MAML2 YY1 GATA3 ENO1 ITCH IL4 APH1B LNX1 NCOR2 RBPJ CDKN1A JAG2 ADAM12 DLK1 EPS15 DNER SKP1 NOTCH3 RBBP8 NOTCH4 JAG1 APH1A DLL3 PSENEN MFAP5 NCSTN CCND1 EP300 HDAC1 MARK2 MIB1 ADAM10 CUL1 CNTN1 KDM1A	0.0354943	DN
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	STAT3 CHUK PTPN11 PPARGC1A NPY TNF SLC2A4 CD36 SLC2A1 MTOR ADIPOR2 PRKAG2 ACSL6 POMC MAPK9 MAPK10 PRKCQ RXRB RXRG IKBKB PRKAG3 RXRA TNFRSF1B ADIPOR1 AKT1 AKT2 TNFRSF1A JAK2 LEPR AKT3 CPT1B LEP ACACB NFKB1 NFKBIB NFKBIA NFKBIE IKBKG MAPK8 CPT1A PCK2 CPT1C PCK1 RELA STK11 PPARA TRAF2 PRKAB2 PRKAB1 PRKAA2 PRKAA1 SOCS3 TRADD ACSL5 ADIPOQ G6PC2 IRS2 ACSL1 AGRP PRKAG1 G6PC IRS1 CAMKK1 CAMKK2 IRS4 ACSL3 ACSL4	0.036205638	DN
BIOCARTA_41BB_PATHWAY	JUN MAP3K5 MAPK8 CHUK MAPK14 MAP3K1 RELA TNFRSF9 IKBKB MAP4K5 IFNG TRAF2 ATF2 IL4 NFKB1 NFKBIA IL2	0.037685913	DN
KEGG_PPAR_SIGNALING_PATHWAY	SLC27A5 SLC27A4 SORBS1 ACADL CYP4A11 ACADM APOA2 CD36 FADS2 APOA1 CYP7A1 SLC27A1 SCD CYP8B1 UCP1 DBI NR1H3 ACSL6 ME1 MMP1 GK GK2 APOA5 RXRB RXRG PLTP PDPK1 RXRA ILK APOC3 ACOX2 ACOX3 CYP27A1 OLR1 CPT2 ACAA1 CPT1B ANGPTL4 SLC27A2 LPL FABP1 CPT1A PCK2 FABP4 CPT1C FABP2 PCK1 SCP2 PPARA AQP7 PLIN1 CYP4A22 FABP3 FABP5 FABP6 FABP7 ACSL5 ADIPOQ SLC27A6 HMGCS2 EHHADH UBC PPARG PPARD ACSL1 SCD5 ACOX1 ACSL3 ACSL4	0.050519495	UP
KEGG_MELANOGENESIS	CALM2 CALM1 TYR CREB3L1 FZD1 FZD4 FZD6 FZD7 LEF1 CREBBP CREB3 FZD8 FZD9 POMC WNT9B WNT9A CREB1 WNT2B WNT11 EDN1 WNT10B NRAS EDNRB LOC652799 KRAS PRKX GNAI1 GNAI2 CALML5 ADCY3 ADCY2 ADCY1 CREB3L3 WNT5B CAMK2A CAMK2B CAMK2D CAMK2G PRKACA GNAQ PRKACB PRKACG GNAS GNAI3 WNT16 GNAO1 CALML3 DCT CALM3 PLCB2 ADCY8 ADCY9 PLCB1 ADCY6 ADCY7 PRKCB RAF1 PLCB3 PRKCA PLCB4 ADCY5 CREB3L4 ASIP KITLG PRKCG MC1R WNT3A DVL3 DVL2 MAP2K2 MAP2K1 KIT FZD3 DVL1 ADCY4 TYRP1 WNT4 WNT10A MAPK3 TCF7 MAPK1 TCF7L2 HRAS WNT1 EP300 GSK3B WNT7A WNT7B WNT8A WNT8B WNT2 WNT3 WNT5A CTNNB1 WNT6 FZD10 CREB3L2 FZD5 TCF7L1 MITF FZD2 CALML6	0.053581282	DN
BIOCARTA_RACCYCD_PATHWAY	IKBKG HRAS E2F1 CHUK RAF1 TFDP1 RELA CDKN1B CDKN1A RHOA CCND1 CDK2 IKBKB CDK4 PAK1 RB1 AKT1 PIK3CA CDK6 MAPK3 NFKB1 CCNE1 NFKBIA PIK3R1 RAC1 MAPK1	0.055391018	UP
REACTOME_INWARDLY_RECTIFYING_K_CHANNELS	ABCC9 GABBR1 GNB1 GNB2 GNB3 GNG3 GNG4 GNG5 GNG7 GNG10 GNGT1 GNGT2 KCNJ1 KCNJ2 KCNJ3 KCNJ4 KCNJ5 KCNJ6 KCNJ8 KCNJ9 KCNJ10 KCNJ11 KCNJ12 KCNJ14 KCNJ15 KCNJ16 GNG2 GNG12 ABCC8 GNG8 GABBR2	0.055391018	UP
REACTOME_TRANSCRIPTIONAL_REGULATION_OF_WHITE_ADIPOCYTE_DIFFERENTIATION	MED6 MED16 CDK4 CDK8 NCOA2 CEBPB CEBPD PPARGC1A MED8 CREBBP EBF1 EGR2 EP300 FABP4 MED19 NCOA6 CDK19 MED13L MED4 LEP MED11 LPL MED31 PCK1 ANGPTL4 MED15 PLIN1 PPARA PPARG MED1 MED18 MED9 MED29 RELA RXRA SLC2A4 SMARCD3 SREBF1 MED22 KLF5 TBL1X NR2F2 TGFB1 TNF WNT1 WNT10B TBL1XR1 MED25 NCOA3 MED10 PRIC285 NCOA1 HDAC3 CCNC CCND3 MED30 MED14 KLF4 ADIPOQ MED21 MED23 MED17 MED26 MED27 MED7 MED20 CD36 NCOR1 NCOR2 TGS1 MED24 MED12	0.055431112	UP
REACTOME_NOTCH_HLH_TRANSCRIPTION_PATHWAY	MAMLD1 CREBBP SNW1 KAT2A RBPJ NOTCH2 NOTCH3 NOTCH4 MAML3 LOC728030 MAML2 KAT2B MAML1	0.056151736	DN
BIOCARTA_PS1_PATHWAY	WNT1 NOTCH1 GSK3B APC BTRC PSEN1 DVL1 CTNNB1 HNF1A DLL1 FZD1 ADAM17 RBPJ AXIN1	0.059144774	UP
REACTOME_TRANSCRIPTIONAL_ACTIVITY_OF_SMAD2_SMAD3_SMAD4_HETEROTRIMER	CDK8 CDK9 CDKN2B PARP1 E2F4 E2F5 WWTR1 HDAC1 JUNB SMAD2 SMAD3 SMAD4 SMAD7 MEN1 LOC441488 MYC SERPINE1 TRIM33 PPM1A RBL1 TGIF2 RPS27A SMURF2 SKI SKIL SP1 TFDP1 TGIF1 RPS27AP11 UBA52 UBE2D1 UBE2D3 USP9X CCNC CCNT1 CCNT2 NCOR1 NCOR2	0.059144774	DN
PID_ERBB1_INTERNALIZATION_PATHWAY	CHMP3 RAB5A CDC42 SHC1 ZFYVE28 SPRY2 EGF RAF1 PIK3CA NRAS AMPH PTK2 PIK3R1 UBE2D2 EGFR PIK3CB HRAS PIK3R2 EPS15 SH3KBP1 DNM1 LRIG1 SRC UBE2D3 KRAS SOS1 EPN1 SYNJ1 STAMBP HGS ARHGEF7 TSG101 SH3GL2 CBL ITSN1 PIK3R3 USP8 PIK3CD GRB2 CBLB UBE2D1	0.059144774	DN
BIOCARTA_CD40_PATHWAY	CD40LG CD40 IKBKG CHUK IKBKAP MAP3K1 RELA IKBKB DUSP1 TRAF6 TRAF3 TNFAIP3 MAP3K14 NFKB1 NFKBIA	0.059144774	UP
REACTOME_RECEPTOR_LIGAND_BINDING_INITIATES_THE_SECOND_PROTEOLYTIC_CLEAVAGE_OF_NOTCH_RECEPTOR	ADAM10 JAG1 DLL1 JAG2 NOTCH2 NOTCH3 NOTCH4 DLL4 RPS27A ADAM17 RPS27AP11 UBA52	0.062848657	DN
SA_REG_CASCADE_OF_CYCLIN_EXPR	E2F2 CDKN1B E2F1 CDK2 CCNA2 PRB1 CCNA1 CCNE1 E2F4 CCND1 CDKN2A CDK4 CCNE2	0.063443086	UP
KEGG_ENDOMETRIAL_CANCER	CASP9 SOS2 RAF1 ELK1 APC2 LEF1 BAD ERBB2 MAP2K2 BRAF MLH1 MAP2K1 PDPK1 ILK AKT1 AKT2 NRAS AKT3 GRB2 AXIN1 AXIN2 MAPK3 TCF7 CTNNA1 MYC SOS1 MAPK1 TCF7L2 PIK3R5 HRAS EGFR GSK3B KRAS CTNNA2 EGF CTNNB1 ARAF CCND1 PTEN PIK3R3 TCF7L1 FOXO3 APC TP53 PIK3CA PIK3CB PIK3CD CTNNA3 PIK3CG PIK3R1 PIK3R2 CDH1	0.066019794	UP
ST_TUMOR_NECROSIS_FACTOR_PATHWAY	NFKBIA MAP3K7 TNFRSF1A MAP3K3 JUN TNFRSF1B NFKBIB CASP3 NR2C2 BAG4 RIPK1 CFLAR BIRC2 CASP8 NFKB2 TNF MAP2K4 BIRC3 TRAF2 TRADD IKBKG TONSL FADD NFKBIE AGFG1 TNFAIP3 NFKB1 RALBP1 NFKBIL1	0.072686212	DN
REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX	CDK8 CDK9 STUB1 CDKN2B STRAP PARP1 E2F4 E2F5 FKBP1A ARHGEF18 PPP1R15A WWTR1 HDAC1 JUNB RHOA SMAD2 SMAD3 SMAD4 SMAD7 MEN1 LOC441488 MYC FURIN SERPINE1 F11R PARD6A UCHL5 TRIM33 PPM1A PPP1CA PPP1CB PPP1CC PRKCZ PARD3 PMEPA1 SMURF1 CGN RBL1 TGIF2 RPS27A SMURF2 SKI SKIL SP1 TFDP1 TGFB1 TGFBR1 TGFBR2 TGIF1 RPS27AP11 UBA52 LOC731429 UBE2D1 UBE2D3 XPO1 USP9X CCNC CCNT1 CCNT2 MTMR4 ZFYVE9 NCOR1 NCOR2	0.072686212	UP
