Term Id	Term	Category	Hypergeometirc p-value	Literature score	# of genes	nominal p-value	FDR q-value	Normalized enrichment score	Direction	Gene list
REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE	REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE	msigdb_c2	7.790372865330562E-4	2.1526692182216616	19	0.0	7.81255E-5	-2.17403	DOWN	SUCLA2(-0.231396) SUCLG2(-0.212059) IDH3A(-0.1731) SDHB(-0.172438) SDHC(-0.169975) SDHD(-0.159414) MDH2(-0.155215) DLD(-0.154422) SUCLG1(-0.142739) ACO2(-0.136218) SDHA(-0.133576) FH(-0.12603) NNT(-0.118187) DLST(-0.109784) IDH3B(-0.10023) IDH3G(-0.0930266) CS(-0.0816053) IDH2(-0.0625073) OGDH(-0.00794085)
TIAN_TNF_SIGNALING_NOT_VIA_NFKB	TIAN_TNF_SIGNALING_NOT_VIA_NFKB	msigdb_c2	1.0506993594942347E-6	2.3646523948183207	21	0.0	7.84407E-5	2.15856	UP	FOSB(0.960082) EGR1(0.901944) NR4A1(0.47512) PPP1R15A(0.341585) PDE8B(0.285112) JUN(0.271789) MAFF(0.262794) FZD2(0.250886) JUNB(0.24982) DUSP2(0.20002) RGS16(0.190159) GATA2(0.178882) IER3(0.166506) KLF10(0.103776) PTGES(0.103326) MNT(0.0825129) KLF6(0.0470729) INSIG1(0.0372113) TIPARP(-6.05882E-4) HSPA1A(-0.0290164) EXT1(-0.0770779)
GOTZMANN_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_UP	GOTZMANN_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_UP	msigdb_c2	1.8722388141920833E-20	2.6530429501097874	66	0.0	7.96115E-5	2.16229	UP	CTGF(0.776473) TIMP3(0.554768) CLU(0.542073) CCL2(0.496974) TNC(0.480814) ACTA2(0.410641) NCAM1(0.408186) MPDZ(0.392605) FN1(0.385601) CYP1B1(0.381751) FBLN2(0.357212) COL5A2(0.309289) JUN(0.271789) COL4A1(0.268843) COL1A1(0.260547) IGFBP7(0.235899) COL4A2(0.21077) TIMP1(0.202378) TGFB3(0.192541) PROS1(0.181927) COL18A1(0.179704) GATA2(0.178882) INHBB(0.164644) MAP4(0.161689) CDH2(0.141247) SNAI1(0.141205) SERPINE1(0.116828) NR2F1(0.112803) INHBA(0.107019) COL3A1(0.0964646) ODC1(0.072646) CSF1(0.0611484) PLA2G4A(0.0606683) RBL1(0.0550996) MCM3(0.0453562) DCK(0.0438582) FURIN(0.0414104) RBBP6(0.0385237) PKP1(0.0290595) SMARCD1(0.0227819) GADD45B(0.020836) CHRNB1(0.0201506) ITGB1(0.0188798) HMGB1(0.0139737) GLG1(0.00762357) IL4R(0.00450651) CCL7(-0.00838474) ZFX(-0.00993974) RPSA(-0.0101727) CCT6A(-0.0144767) TPP2(-0.0280403) PDGFA(-0.0305286) TOP1(-0.034683) TRAF3(-0.035194) PAFAH1B1(-0.0460018) OAT(-0.0581428) S100A6(-0.063156) BRCA1(-0.0708063) PPIC(-0.0982741) SMAD1(-0.104148) PLK4(-0.114838) EDN1(-0.121359) LY75(-0.142069) MKI67(-0.167051) CHEK1(-0.186976) CENPA(-0.258444)
GRAHAM_NORMAL_QUIESCENT_VS_NORMAL_DIVIDING_DN	GRAHAM_NORMAL_QUIESCENT_VS_NORMAL_DIVIDING_DN	msigdb_c2	3.1040154433105076E-13	1.9781552808506706	85	0.0	8.0493E-5	-2.18063	DOWN	APOBEC3B(-0.408273) GGH(-0.396472) XK(-0.343189) AMMECR1(-0.336769) MAD2L1(-0.276445) KIF15(-0.275738) PRC1(-0.266158) GMNN(-0.245453) KIF11(-0.23569) MINPP1(-0.235259) CCNA2(-0.231678) CEP55(-0.228519) MELK(-0.224487) DLGAP5(-0.218457) OIP5(-0.211743) GINS1(-0.210504) TOP2A(-0.201139) DTL(-0.200747) ZWINT(-0.187639) CHEK1(-0.186976) CDC20(-0.181547) RAD51AP1(-0.17353) CCNB2(-0.172021) DHFR(-0.158854) ATP5G3(-0.15246) CDC6(-0.136262) NDC80(-0.132393) BUB1B(-0.132239) PPIF(-0.130536) FABP5(-0.127304) KIF18B(-0.124845) CKS1B(-0.123628) SMC2(-0.122304) CDKN3(-0.118299) NUSAP1(-0.109577) KIF2C(-0.10537) RACGAP1(-0.103483) CCNE2(-0.100187) RNASEH2A(-0.0984371) KIAA0101(-0.0923689) GINS2(-0.0909484) MCM4(-0.0890043) SAC3D1(-0.0786678) MCM2(-0.0777456) CDK1(-0.0766832) TYMS(-0.0684553) TK1(-0.0663012) NUP85(-0.0661918) NCAPG(-0.0645665) BIRC5(-0.0640319) POLE2(-0.0537276) RFC3(-0.0436282) PCNA(-0.0416111) MSH2(-0.0373179) CENPM(-0.0351542) RRM1(-0.0350032) BUB1(-0.031641) RRM2(-0.018046) HAT1(-0.0164517) VDAC3(-0.0130669) SNRNP25(-0.012319) VRK1(-0.00655382) FEN1(-0.00295111) GZMB(0.00266107) MCM10(0.00795726) CDC45(0.0155867) MCM6(0.0248718) DSCC1(0.0276204) MCM5(0.0300214) DUT(0.0320215) CSE1L(0.0344409) CD36(0.0381598) CCNE1(0.0426316) TRIP13(0.0432571) AQP3(0.0674443) PRG2(0.068711) CDC25A(0.0694656) NPM3(0.0723405) HBD(0.0751203) CPA3(0.0768564) RFC4(0.0913756) SLC7A5(0.170143) CSF2RB(0.214295) HBB(0.311069) LEPR(0.375578)
GERHOLD_ADIPOGENESIS_DN	GERHOLD_ADIPOGENESIS_DN	msigdb_c2	8.954513947668966E-23	3.0384936495940695	63	0.0	8.31268E-5	2.13647	UP	CYR61(1.32137) GAS1(0.809146) CTGF(0.776473) CRYAB(0.664098) THBS2(0.571417) CCL2(0.496974) THBD(0.488294) FGF7(0.393184) CXCL12(0.392065) FN1(0.385601) TUBA1A(0.366899) G0S2(0.330895) GAS7(0.275462) CD81(0.235025) TNFAIP2(0.224114) ANXA5(0.195227) PDGFRB(0.190953) UCP2(0.188088) IER3(0.166506) CEBPD(0.156574) IL11RA(0.153251) SAMHD1(0.153131) AKR1B1(0.14664) CCND1(0.143917) CD44(0.135131) TUBB(0.105596) CCND2(0.0880051) HGFAC(0.0821704) UBTF(0.0621701) ECM1(0.0600901) SAE1(0.0512386) MMP14(0.0467845) ZNF148(0.0463679) CDK4(0.0443002) GAS6(0.0355637) VCAN(0.0294784) ITGB1(0.0188798) EEF2(0.017033) IL1R1(0.0159525) IL4R(0.00450651) CCT2(-0.00685849) CCL7(-0.00838474) CDC37(-0.0114762) DDB1(-0.0147957) EIF3C(-0.0164101) HSPA8(-0.0327535) BID(-0.0441241) PLAT(-0.0487193) CCT5(-0.0487689) PDCD2(-0.0515926) THBS1(-0.0576908) DNAJB1(-0.0671871) ATF1(-0.0697121) CASP8(-0.0733869) IFRD1(-0.0734268) ANXA2(-0.0833153) BAX(-0.0898406) SOX4(-0.110019) CD9(-0.122728) VDR(-0.214086) XDH(-0.245176) SDC1(-0.273075) ANXA3(-0.289731)
PLASARI_TGFB1_TARGETS_10HR_DN	PLASARI_TGFB1_TARGETS_10HR_DN	msigdb_c2	1.105099771844788E-17	1.595638478066205	192	0.0	8.42205E-5	2.13654	UP	ADAMTS1(1.07497) OGN(0.942987) GAS1(0.809146) PEG3(0.752556) MEIS2(0.64161) SDPR(0.563408) IGFBP5(0.544711) PALMD(0.543912) THBD(0.488294) SYT11(0.450229) PPP1R3C(0.438661) TGFBR3(0.426965) FGF7(0.393184) LDB2(0.390895) RUNX1T1(0.386997) CAND2(0.386153) CYP1B1(0.381751) PMP22(0.379912) DCLK1(0.377295) ADAMTS5(0.369169) PCDH7(0.365138) THSD7A(0.362429) PCDH9(0.361284) LPL(0.359152) DIXDC1(0.357624) FAT4(0.354832) STMN2(0.343699) FBXL7(0.317256) PDE1A(0.316072) IRS1(0.311624) TRPS1(0.310763) SLC24A3(0.309113) CD93(0.308768) PER3(0.307706) PLCB1(0.307122) LAMA4(0.295071) PRRX1(0.290822) SEMA3A(0.289621) SERPINB9(0.287625) EPHA7(0.280284) VCAM1(0.278658) TCEAL1(0.270033) SLC16A4(0.250151) EVI2A(0.2437) DZIP1(0.235676) MPPED2(0.235579) SH3BP5(0.234263) ZFHX4(0.231351) NPR3(0.228826) IGF1(0.216195) RASGRP3(0.215079) PRKAR2B(0.204941) ARID5B(0.199697) ARNT2(0.198669) LUM(0.197928) AQP1(0.196311) MRC1(0.194378) PDP1(0.188826) CTNNAL1(0.186133) FOXC1(0.173015) SCARA3(0.165515) LIFR(0.16124) PDE5A(0.155408) CELF2(0.14971) DAB2(0.147837) SVIL(0.143952) CBX6(0.14221) CDH2(0.141247) CLIP4(0.138113) MSH6(0.136927) PLEK(0.134143) DBP(0.129152) DIRAS2(0.128225) TOX(0.127213) ZNF467(0.124477) MAP2(0.122139) LRRN3(0.119759) KCND2(0.116113) GAMT(0.112176) C3AR1(0.110977) SH3BGRL(0.108979) WDR19(0.105524) MEF2C(0.103811) IL6ST(0.100523) PIK3R3(0.0965677) EYA4(0.0917145) RFC4(0.0913756) RARB(0.0897035) IFIT1(0.0836017) CENPJ(0.0810589) NR1D2(0.0783487) TLE6(0.0761308) KLHL24(0.0596168) PHIP(0.0573053) PBX1(0.0572748) ANGPT2(0.056898) SMARCA2(0.0561339) SERHL2(0.0543398) AGTR2(0.053249) CYP7B1(0.0523894) ZIC1(0.0494911) SIX1(0.0432923) PIK3R1(0.0425838) STMN1(0.0403723) CD36(0.0381598) GBP1(0.0359422) SIM2(0.0293185) MMP16(0.0292442) EYA1(0.0285337) IL1RN(0.0276121) NFIB(0.0271843) HOXC10(0.0263872) CDC42EP2(0.0241885) MMP11(0.0240484) AMPD3(0.0213784) RAB30(0.020408) RCBTB2(0.0130206) GSTM2(0.00963222) PRIM1(0.00871647) PDK4(0.00751815) USP18(-1.83539E-4) ZFAND1(-9.29782E-4) BNIP3L(-0.00137437) SLC14A1(-0.00194449) PDLIM2(-0.00335088) EIF2AK2(-0.0114762) STAT1(-0.0120115) LPAR4(-0.0133061) NFIX(-0.0167588) KITLG(-0.0169251) SESN1(-0.0171515) HERC6(-0.0191443) PDGFRA(-0.0198348) RND3(-0.0213187) IFIT3(-0.0226273) ZFR(-0.0269733) SHOX2(-0.027035) ITGB3BP(-0.0296153) BUB1(-0.031641) EPHX1(-0.0408041) GULP1(-0.0423876) ARHGAP28(-0.043199) ABLIM1(-0.0434671) RFC3(-0.0436282) PTEN(-0.0501176) DHRS3(-0.0509589) PTX3(-0.0615639) TK1(-0.0663012) TRIM37(-0.0671768) RTP4(-0.0688481) GLRX(-0.0696992) ADM(-0.0704946) GAS2(-0.072923) METTL7A(-0.0746572) EDNRB(-0.0754858) TRIM21(-0.0793446) NMI(-0.0806274) TCF7L2(-0.0818322) AUTS2(-0.0866766) MAN1A1(-0.0890966) UNC5C(-0.0929902) PTPRD(-0.0943612) IFIT2(-0.10475) MARCKS(-0.108638) NUSAP1(-0.109577) LMO7(-0.114589) ARL6IP1(-0.117866) CDKN3(-0.118299) MLLT3(-0.131503) REPS2(-0.133254) CD24(-0.146673) FGFR2(-0.157824) SORD(-0.160463) RNASEL(-0.163274) MKI67(-0.167051) ZWILCH(-0.174473) SLC12A2(-0.180385) TRIM2(-0.185254) SERPINB1(-0.191488) ACADM(-0.197484) DTL(-0.200747) IDH1(-0.20515) CCNB1(-0.219636) ELOVL6(-0.236297) MBNL3(-0.245979) TMEM53(-0.247217) MEST(-0.257996) HMMR(-0.268824) LGR4(-0.314981) IL18(-0.32966) NQO1(-0.347691) DDC(-0.414933)
BURTON_ADIPOGENESIS_9	BURTON_ADIPOGENESIS_9	msigdb_c2	6.272121784025284E-15	2.1852353665618454	81	0.0	8.53435E-5	2.14002	UP	CYR61(1.32137) FOS(1.06944) EGR1(0.901944) PTGS2(0.817024) GEM(0.614567) AKAP12(0.597178) THBS2(0.571417) FERMT2(0.562324) CCL2(0.496974) ARMCX2(0.443524) ANXA1(0.424894) NDRG4(0.394187) CXCL12(0.392065) SPG20(0.376503) SPP1(0.343006) AMOTL2(0.316323) VCAM1(0.278658) DNM1(0.268102) NME4(0.258441) FZD2(0.250886) ASAP1(0.23767) CSRP1(0.21995) TSPYL4(0.216031) HCFC1R1(0.188717) TPD52L1(0.188591) FADS1(0.183273) MAGED2(0.171474) CEBPD(0.156574) CXCL1(0.143846) RECK(0.13454) CNN2(0.11588) TPM1(0.0943727) RASA4(0.0853658) PHLDA1(0.0844371) PLK2(0.0786974) CYTH3(0.0677313) CSF1(0.0611484) PLA2G4A(0.0606683) GSTT1(0.0602437) SIRT2(0.0583456) IFI30(0.0532741) DOK1(0.046312) CDKN2A(0.0451366) CDK4(0.0443002) GPC4(0.0394406) SLC8A1(0.0166166) C6orf25(0.00327707) ID2(-0.00619818) CCL7(-0.00838474) CNN3(-0.0176023) RNF13(-0.0193371) GSTM1(-0.0193445) SNX6(-0.0349183) EPHX1(-0.0408041) CITED2(-0.0459417) PLAT(-0.0487193) GRN(-0.0503084) HEBP1(-0.0506645) THBS1(-0.0576908) F2R(-0.0611364) TOR1AIP2(-0.0618868) GAS2(-0.072923) ROCK2(-0.0766433) MFSD1(-0.0783211) ID3(-0.0814939) DDAH2(-0.0948881) KLF4(-0.09521) ANXA11(-0.0977248) CDKN2B(-0.107351) PRKCD(-0.111182) STXBP3(-0.112578) SKAP2(-0.11976) NEDD9(-0.143303) ACVR2A(-0.149995) F3(-0.158464) MAOA(-0.162903) CTNND1(-0.163041) LGALS9(-0.16792) JUP(-0.173447) GALK2(-0.215356) KIFAP3(-0.266886)
RAMALHO_STEMNESS_DN	RAMALHO_STEMNESS_DN	msigdb_c2	1.0470238693090053E-7	1.4547206366002012	60	0.0	8.64968E-5	2.14059	UP	MLLT11(0.665405) NCAM1(0.408186) MAL(0.362084) EFHD1(0.342281) NRP1(0.303371) GAS7(0.275462) RELN(0.269071) CORO1A(0.254357) EVL(0.245166) EVI2A(0.2437) RGS10(0.243518) ITGB2(0.2332) PTPRC(0.231679) CSF1R(0.227739) CMA1(0.227172) SIRPA(0.224253) LAT2(0.218729) LY86(0.216764) TYROBP(0.199538) CD53(0.183664) PRKCB(0.170549) HSD11B1(0.162471) CEBPD(0.156574) ST3GAL6(0.149463) KCNAB2(0.146953) CYFIP2(0.125934) HDC(0.12121) ZAP70(0.113267) BIN1(0.109486) GSN(0.107838) CBX4(0.0786842) GRINA(0.0758804) RGS14(0.0741688) PGLYRP1(0.0733035) ROGDI(0.0716151) B4GALNT1(0.0672845) GRIA2(0.0566051) COL11A2(0.0553396) ZDHHC14(0.0538292) NIN(0.0490621) STMN1(0.0403723) CD68(0.0245248) SLC11A1(0.0165424) ACVRL1(0.0104309) RBMX(0.0104108) CST3(0.00726882) CTSB(0.00499725) CD47(1.04409E-4) CLEC4A(-0.00900235) BMP1(-0.0192821) PPP3CA(-0.024795) AP2A2(-0.0315079) ABLIM1(-0.0434671) RTN3(-0.0459737) ABR(-0.0645317) ARG2(-0.07322) PPP2R5A(-0.0742947) HSD17B8(-0.128775) CTSS(-0.157247) PAPSS2(-0.204336)
VILIMAS_NOTCH1_TARGETS_UP	VILIMAS_NOTCH1_TARGETS_UP	msigdb_c2	2.263282078477115E-19	3.0738276549233405	48	0.0	8.76817E-5	2.14304	UP	EGR1(0.901944) BCL2A1(0.456361) EGR2(0.4546) CD69(0.42886) NOTCH3(0.400241) CCR7(0.340737) IL10RA(0.26575) JUNB(0.24982) THY1(0.240188) CX3CL1(0.218598) LCK(0.198897) GATA3(0.180305) CD2(0.17769) CD83(0.174435) NFATC1(0.172341) TRAT1(0.171934) ICAM1(0.171279) CD86(0.169826) CD3D(0.145631) TOX(0.127213) CD74(0.124851) ZAP70(0.113267) CD28(0.111518) LAT(0.108471) P2RY10(0.100285) NFKBIA(0.0853772) TRAF1(0.0792612) CTLA4(0.0789419) BIRC3(0.0625878) PTCRA(0.0604152) NFKB2(0.0542619) CD7(0.0507845) RAG1(0.0370029) IRF7(0.0355451) IL12B(0.018886) CCL5(0.0126134) HEY1(0.0123315) CD80(0.0093771) RAG2(0.00690901) GZMB(0.00266107) ID2(-0.00619818) RELB(-0.0171313) CD3G(-0.0189549) TARP(-0.0507677) BIRC2(-0.0769636) RRAS2(-0.121753) GZMA(-0.124658) DDR1(-0.138978)
GRAHAM_CML_DIVIDING_VS_NORMAL_QUIESCENT_DN	GRAHAM_CML_DIVIDING_VS_NORMAL_QUIESCENT_DN	msigdb_c2	2.6436209719658973E-9	1.6197603336319282	88	0.0	1.02823E-4	2.12786	UP	VNN1(0.657213) TCEAL2(0.631712) GUCY1A3(0.610026) DMD(0.58706) HLF(0.572819) TFPI(0.528464) CH25H(0.51336) TGFB1I1(0.506331) RBPMS(0.460325) ARMCX2(0.443524) CXCL13(0.423106) CCL19(0.368362) PCDH9(0.361284) SELL(0.333568) LIMCH1(0.287569) HLX(0.284045) CD200(0.243896) EVI2A(0.2437) SH3BP5(0.234263) CXCL2(0.234246) PTPRC(0.231679) IFI16(0.221711) CREM(0.20142) HLA-DQB1(0.200832) FNBP1(0.19908) ANXA5(0.195227) HLA-DQA1(0.194739) CLEC2B(0.193514) CYTIP(0.191208) TRIM22(0.184129) TCF4(0.1827) GLIPR1(0.181153) HLA-DPA1(0.180572) ERG(0.17381) BAALC(0.16989) DUSP6(0.145273) SVIL(0.143952) CXCL1(0.143846) HLA-DRB4(0.136269) CD44(0.135131) IDS(0.128987) CD40(0.126142) AREG(0.118398) BCL11A(0.10892) INHBA(0.107019) RABGAP1(0.0970941) ALOX5(0.0834709) TM4SF1(0.0821651) IL18R1(0.0819396) CRHBP(0.0804105) ADAM8(0.0755428) IL1B(0.0725021) BIRC3(0.0625878) PPFIBP1(0.0574283) GBP2(0.0496674) C3orf14(0.0328649) CXCL3(0.0187376) RPL31(0.0163192) PTGER4(0.0129827) SPTBN1(-0.0109435) ADAM28(-0.0126959) PMCH(-0.014272) HIST2H2BE(-0.0146053) TRA2A(-0.0190782) CD59(-0.0318813) TNFSF4(-0.0325847) TSPAN31(-0.0336922) TPBG(-0.0479601) H1F0(-0.058378) NFAT5(-0.0704829) SORL1(-0.0745212) OPTN(-0.0761217) NRIP1(-0.077444) CTSO(-0.0775215) CXCL11(-0.0792196) TCF7L2(-0.0818322) SOD2(-0.0924701) CCNG2(-0.0958891) CXCL6(-0.0970217) MLLT3(-0.131503) TNFSF10(-0.160366) ENPP4(-0.173861) TSPAN6(-0.236908) MYO5C(-0.239478) HIST1H2AC(-0.247332) EMP1(-0.271766) MPZL2(-0.273626) AKR1C3(-0.386373)
AMIT_SERUM_RESPONSE_60_MCF10A	AMIT_SERUM_RESPONSE_60_MCF10A	msigdb_c2	9.001945750518516E-8	1.6982690961911244	56	0.0	1.04077E-4	2.13031	UP	CYR61(1.32137) EGR1(0.901944) PTGS2(0.817024) GAS1(0.809146) CTGF(0.776473) NR4A2(0.702118) EGR3(0.532407) TNC(0.480814) RHOB(0.453493) VGLL3(0.394292) HBEGF(0.391649) FN1(0.385601) CALD1(0.366616) KLF7(0.313843) BHLHE40(0.312575) EREG(0.277955) TCEAL1(0.270033) MAGED2(0.171474) MAFB(0.170602) IER2(0.160386) TRIB1(0.135652) CYBRD1(0.132894) DUSP5(0.123795) TNFAIP3(0.121152) CCL20(0.120128) PNRC1(0.109642) INHBA(0.107019) SGK1(0.0871948) MAP3K8(0.084552) TM4SF1(0.0821651) PLK2(0.0786974) ELL2(0.0555993) POT1(0.0365941) MBNL2(0.0327718) PTGER4(0.0129827) ITSN1(0.00262591) PMAIP1(0.00105727) IRS2(-0.00569983) PIP5K1A(-0.0159326) SERPINB13(-0.0176989) BMP1(-0.0192821) ZC3H12A(-0.0238001) COBLL1(-0.0255682) ETS2(-0.0345906) FRMD4B(-0.0500079) STK38L(-0.0676038) PDLIM5(-0.0747425) TGIF1(-0.0853735) PCBD1(-0.0877177) RCAN1(-0.103816) SOX4(-0.110019) PXMP4(-0.124239) SCD(-0.187566) SLC35D1(-0.189816) TUFT1(-0.225056) C1orf116(-0.384422)
CHIBA_RESPONSE_TO_TSA_UP	CHIBA_RESPONSE_TO_TSA_UP	msigdb_c2	6.374646316973606E-17	2.7202925149412915	51	0.0	1.05362E-4	2.13187	UP	FOS(1.06944) FOSB(0.960082) CTGF(0.776473) TIMP3(0.554768) CAV2(0.467466) ITGA7(0.435568) HBEGF(0.391649) VEGFC(0.370381) TGFB1(0.298501) JUNB(0.24982) COL1A2(0.236447) PECAM1(0.235331) ARHGDIB(0.202228) LUM(0.197928) SOD3(0.197431) PDGFRB(0.190953) NGFR(0.181809) CDKN2C(0.125271) MMP19(0.103082) ANK1(0.0783124) TIMP2(0.0777492) TRIP6(0.0668212) EFNB3(0.0580025) RHOG(0.0533081) CD8B(0.0512786) RING1(0.0478515) SIVA1(0.043606) CD36(0.0381598) MMP13(0.0300948) PLA2G6(0.025939) MMP11(0.0240484) TP53I11(0.0077445) QSOX1(-0.00328248) BMP4(-0.00668303) KRT7(-0.00889569) VTN(-0.0114201) KRT14(-0.0137365) BMP6(-0.0193657) ITGA3(-0.0195901) APRT(-0.0282029) CASP9(-0.0302239) FASTK(-0.0312273) HLA-A(-0.0561232) BAD(-0.0583135) GLRX(-0.0696992) CD9(-0.122728) FBN2(-0.147481) JUP(-0.173447) IGFBP2(-0.177685) KRT19(-0.211407) BSG(-0.272186)
TSAI_RESPONSE_TO_RADIATION_THERAPY	TSAI_RESPONSE_TO_RADIATION_THERAPY	msigdb_c2	5.943914221439295E-13	2.9756908009558716	32	0.0	1.06679E-4	2.1341	UP	CYR61(1.32137) EGR1(0.901944) CTGF(0.776473) IGFBP5(0.544711) CD69(0.42886) TGFBR3(0.426965) VEGFC(0.370381) HBB(0.311069) COL6A3(0.278151) COL4A1(0.268843) COL6A2(0.247168) BST2(0.199437) COL6A1(0.193805) IL6(0.163519) A2M(0.148628) IFI6(0.133907) TGFBR2(0.125895) SERPINE1(0.116828) TGFB2(0.0705676) ISG15(0.0690754) IFITM1(0.0173312) OAS3(-0.00954374) TSC22D1(-0.0103044) SMAD3(-0.0356447) VEGFA(-0.0476264) PLAT(-0.0487193) THBS1(-0.0576908) CFB(-0.0589064) IFIT2(-0.10475) TNFRSF11B(-0.108911) LGALS3BP(-0.121672) LIPC(-0.179302)
CHEN_LVAD_SUPPORT_OF_FAILING_HEART_UP	CHEN_LVAD_SUPPORT_OF_FAILING_HEART_UP	msigdb_c2	3.9534593479319906E-8	1.4150880026967882	100	0.0	1.0803E-4	2.13445	UP	CYR61(1.32137) CTGF(0.776473) ZBTB16(0.758249) CNN1(0.666251) ATF3(0.579587) TIMP3(0.554768) CLU(0.542073) AGTR1(0.494243) TSC22D3(0.457315) NID1(0.408319) FHL1(0.385504) CALD1(0.366616) KLF2(0.365945) MYOT(0.364291) DIXDC1(0.357624) FLNC(0.342075) MFAP4(0.335653) DNAJB5(0.310184) BCL6(0.287747) PLA2G5(0.278885) JUN(0.271789) TMEM204(0.258501) C10orf10(0.249319) ZFP36(0.246335) MYOM1(0.232747) SH3BGR(0.230536) PER1(0.226695) BTG2(0.224134) NES(0.201907) DDIT4(0.182496) FSTL3(0.182214) ZBTB20(0.170002) CEBPD(0.156574) CHST3(0.153964) CEBPB(0.14931) CD163(0.136422) HYAL2(0.12487) AREG(0.118398) SERPINE1(0.116828) CYP4B1(0.113663) MTHFD2(0.112312) DOCK9(0.105076) C9orf3(0.103003) FKBP5(0.102427) ACTA1(0.0985916) TCAP(0.0955181) SLC38A2(0.0918379) VCL(0.0875706) TIMP4(0.0873576) NFKBIA(0.0853772) CSDC2(0.0777554) SNAI2(0.0733967) RNF115(0.0654584) KLF9(0.0650397) MAPRE2(0.0603227) MCL1(0.0546196) TXNIP(0.0498736) GLUL(0.0496537) ZFAND5(0.0477001) CDC37L1(0.0467379) PIK3R1(0.0425838) SLCO4A1(0.0368375) ANKRD2(0.0304569) GADD45B(0.020836) LAMB1(0.0115571) PDK4(0.00751815) FOXO3(0.00129467) SYNPO2L(-4.05721E-4) TIPARP(-6.05882E-4) ZNF189(-0.0023253) IRS2(-0.00569983) CDC42EP4(-0.0210891) RND3(-0.0213187) RERE(-0.0225849) CCNB1IP1(-0.0227004) ANKRD1(-0.0410281) MT2A(-0.0422019) GADD45G(-0.0425546) REV1(-0.0455991) FNDC3B(-0.0634521) NCKIPSD(-0.0725616) METTL7A(-0.0746572) MT1X(-0.0754678) MT1H(-0.0759102) AMD1(-0.0785545) INSR(-0.0832523) FOSL2(-0.0841624) MT1E(-0.0866694) IER5(-0.0878234) ELF1(-0.0924492) MT1F(-0.0983456) CDKN1A(-0.110347) MT1M(-0.115958) RRAS2(-0.121753) PLIN2(-0.160804) DDAH1(-0.173202) NFIL3(-0.201042) POSTN(-0.213956) KCNK1(-0.216885) XK(-0.343189)
