Set	Size	Count	z-score	Adj. z-score	Adj. p-value	Adj. q-value	List of genes
PID_LYSOPHOSPHOLIPID_PATHWAY	66	65	3.25975	4.00695	3.07538e-05	0.00547857	BCAR1(3.28671); PLCG1(3.15853); ADCY5(3.01851); ADCY7(2.16637); NFKB1(1.89483); GNAO1(1.7357); PTK2(1.44937); GNA11(1.42198); FOS(1.29267); ADCY2(1.28154); GAB1(1.22831); MAPT(1.13252); LPAR2(1.02718); RELA(0.980934); GNAI3(0.943535); PTK2B(0.814508); PXN(0.702735); IL6(0.619197); LPAR3(0.615955); ADCY8(0.576863); MMP2(0.540257); ADCY1(0.469184); TIAM1(0.453888); GNG2(0.379503); LYN(0.304559); GSK3B(0.303311); LPAR1(0.187782); GNAQ(0.186716); GNA14(0.15502); HRAS(-1.13887); GNAI2(-1.21163); ARHGEF1(-1.21163); AKT1(-1.22623); JUN(-1.24043); PLCB3(-1.29236); GNA13(-1.30391); PLD2(-1.30391); SLC9A3R2(-1.325); NFKBIA(-1.33446); TRIP6(-1.34313); MMP9(-1.35098); HBEGF(-1.35796); GNA15(-1.35796); CRK(-1.36921); ADCY6(-1.3739); RHOA(-1.38209); PRKCD(-1.39431); CASP3(-1.39663); IL8(-1.40054); GNB1(-1.40217); PIK3CB(-1.41301); SRC(-1.41301); RAC1(-1.41393); ADRA1B(-1.42395); ADCY4(-1.434); GNAZ(-1.434); PIK3R1(-1.6468); GNAI1(-1.66549); ADCY3(-1.75418); GNA12(-1.80766); MAGI3(-1.92084); ADCY9(-1.95957); PRKD1(-2.09805); EGFR(-2.10053); PRKCE(-2.30333); 
PID_HNF3B_PATHWAY	45	45	2.24727	3.92158	4.39855e-05	0.00547857	KCNJ11(3.3128); HNF1A(3.27547); HNF1B(3.20346); ABCC8(2.82564); SLC2A2(1.74435); ALAS1(1.74132); GCK(1.41081); PDX1(1.22548); ALDOB(1.19159); IGFBP1(1.13116); HNF4A(1.05739); G6PC(1.04137); ACADVL(1.02554); BDH1(1.01599); INS(0.977626); FOXA3(0.9037); PCK1(0.566007); CEBPD(-0.949317); CEBPB(-1.13887); PKLR(-1.18207); APOA1(-1.19667); AKT1(-1.22623); CPT1C(-1.28019); FOXA1(-1.3148); NKX2-1(-1.3148); CEBPA(-1.3148); TAT(-1.325); SP1(-1.325); F2(-1.325); DLK1(-1.38883); CPT1B(-1.39172); ALB(-1.39663); FOXA2(-1.3987); AFP(-1.40054); UCP2(-1.40217); HMGCS1(-1.40608); TTR(-1.40608); CREB1(-1.41056); TFRC(-1.41216); FOXF1(-1.42021); ACADM(-1.45323); CPT1A(-1.46438); NR3C1(-1.49818); HADH(-1.52161); NF1(-1.73611); 
REACTOME_NOTCH_HLH_TRANSCRIPTION_PATHWAY	13	11	2.94384	3.82873	6.44038e-05	0.00617781	NOTCH4(2.50353); NOTCH2(2.04808); KAT2A(1.13406); MAML1(1.1068); SNW1(1.07704); KAT2B(0.673057); MAML3(0.120298); MAML2(0.00356578); CREBBP(-1.3987); NOTCH3(-1.40806); RBPJ(-1.54124); 
REACTOME_CYTOSOLIC_TRNA_AMINOACYLATION	24	24	2.29067	3.78478	7.69232e-05	0.00685166	RARS(3.17518); CARS(2.64627); EEF1E1(2.03123); VARS(1.85385); SARS(1.54967); IARS(1.1932); KARS(1.08679); GARS(1.02877); FARSA(1.00294); WARS(0.688851); PPA1(0.678502); AARS(-0.773884); QARS(-1.12031); MARS(-1.22623); YARS(-1.33446); HARS(-1.35098); NARS(-1.40054); DARS(-1.40976); AIMP1(-1.40976); AIMP2(-1.41135); TARS(-1.42616); LARS(-1.51207); EPRS(-1.52646); FARSB(-1.62233); 
KEGG_NOTCH_SIGNALING_PATHWAY	47	47	1.89963	3.71227	0.000102704	0.00853813	NOTCH4(2.50353); NOTCH2(2.04808); DLL1(1.66121); DVL3(1.5894); DLL4(1.46454); NUMB(1.31235); DTX3(1.21466); RBPJL(1.21003); DTX1(1.14998); KAT2A(1.13406); PTCRA(1.13116); MAML1(1.1068); SNW1(1.07704); DVL2(1.05576); PSENEN(0.868552); NCSTN(0.783459); KAT2B(0.673057); NCOR2(0.234012); MAML3(0.120298); MAML2(0.00356578); DVL1(-0.178164); HDAC1(-0.874211); DTX2(-1.00775); RFNG(-1.12031); HES5(-1.15185); LFNG(-1.19667); DLL3(-1.21163); HES1(-1.24043); APH1A(-1.24043); NUMBL(-1.34313); MFNG(-1.34313); PSEN2(-1.38883); JAG2(-1.39172); CTBP1(-1.39431); CREBBP(-1.3987); NOTCH1(-1.40054); DTX3L(-1.40711); NOTCH3(-1.40806); CIR1(-1.40893); EP300(-1.41056); HDAC2(-1.41727); ADAM17(-1.42616); JAG1(-1.44634); PSEN1(-1.45323); DTX4(-1.46438); RBPJ(-1.54124); CTBP2(-2.09805); 
KEGG_TYPE_I_DIABETES_MELLITUS	44	42	5.20646	3.69224	0.000111145	0.00859921	HLA-DQA1(3.33243); LTA(2.74207); TNF(2.73922); HLA-DRA(2.54506); HLA-DRB1(2.50815); HLA-B(2.50437); HLA-C(2.03061); IL2(1.66625); HLA-DQA2(1.29772); HLA-E(1.29493); HLA-DQB1(1.08885); INS(0.977626); HLA-DMB(0.391819); HLA-DMA(0.38279); HLA-A(0.299871); HLA-G(0.253972); HLA-F(0.219182); PTPRN2(0.133325); HLA-DOB(0.0348384); HSPD1(-1.18207); FASLG(-1.36921); PTPRN(-1.3739); IL1B(-1.38563); GZMB(-1.39663); PRF1(-1.3987); CD28(-1.41393); IL1A(-1.41493); GAD1(-1.41727); IFNG(-1.42863); HLA-DRB3(-1.43125); IL12B(-1.434); CD86(-1.44972); IL12A(-1.48925); CD80(-1.56137); HLA-DRB4(-1.60217); FAS(-1.62233); GAD2(-1.69944); CPE(-1.95957); ICA1(-2.08085); HLA-DOA(-2.20726); HLA-DPB1(-2.23065); HLA-DPA1(-2.23409); 
PID_NOTCH_PATHWAY	59	59	2.36277	3.6941	0.000110335	0.00859921	FBXW7(2.58397); NOTCH4(2.50353); NOTCH2(2.04808); CDKN1A(1.73696); DLL1(1.66121); SSPO(1.57921); DLL4(1.46454); NUMB(1.31235); ITCH(1.21806); MIB1(1.15808); DTX1(1.14998); EPS15(1.1415); PTCRA(1.13116); MAML1(1.1068); CCND1(1.05514); MYCBP(0.876883); PSENEN(0.868552); NCSTN(0.783459); LNX1(0.69872); SPEN(0.680959); CNTN1(0.409245); CNTN6(0.398874); NCOR2(0.234012); ADAM12(0.0530107); MAML2(0.00356578); HDAC1(-0.874211); DLL3(-1.21163); FURIN(-1.22623); APH1A(-1.24043); MFAP2(-1.25419); YY1(-1.33446); RAB11A(-1.33446); KDM1A(-1.34313); MFAP5(-1.35098); ENO1(-1.38209); MYC(-1.38563); DLK1(-1.38883); JAG2(-1.39172); MARK2(-1.39172); CTBP1(-1.39431); SKP1(-1.3987); NOTCH1(-1.40054); DNM1(-1.40608); APH1B(-1.40711); IL4(-1.40806); NOTCH3(-1.40806); CBL(-1.40893); EP300(-1.41056); GATA3(-1.42616); RBBP8(-1.43992); JAG1(-1.44634); PSEN1(-1.45323); SKP2(-1.46438); NCOR1(-1.52161); RBPJ(-1.54124); NEURL(-1.54124); CUL1(-1.64199); ADAM10(-1.68734); DNER(-2.19474); 
REACTOME_POTASSIUM_CHANNELS	98	97	4.47825	3.42028	0.000312787	0.0216692	KCNJ11(3.3128); ABCC8(2.82564); KCNQ1(2.55089); KCNQ3(2.46786); KCNS3(2.45335); KCNK7(2.38575); KCNN1(2.13268); KCNK3(1.97836); KCNJ2(1.76684); KCNQ5(1.66929); KCNH6(1.57769); KCNC2(1.46849); KCNC1(1.45481); KCNC3(1.19398); KCNH1(1.14654); KCNJ12(1.12625); KCNS1(1.02572); KCNMB3(1.00629); KCNAB3(0.960601); KCNK6(0.878755); KCNG1(0.827541); KCNA3(0.82461); KCNMB1(0.818044); KCNN3(0.800601); KCNJ16(0.797922); KCNK1(0.713183); KCNN4(0.710656); KCNK10(0.674844); GABBR2(0.4362); KCNJ3(0.421036); ABCC9(0.39105); GNG2(0.379503); KCNJ6(0.216793); GABBR1(0.149186); KCNH5(0.105101); KCNH7(0.0755973); KCNB2(-0.128724); KCNJ8(-0.874211); GNB2(-1.13887); KCNK4(-1.15185); HCN3(-1.16173); KCNH4(-1.16173); GNG8(-1.17098); HCN2(-1.17098); GNG3(-1.18207); KCNJ14(-1.18207); KCNA7(-1.25419); GNB3(-1.30391); KCNS2(-1.3148); KCNJ9(-1.34313); KCNG2(-1.34313); KCNV1(-1.36921); KCNH3(-1.3739); KCNH2(-1.38209); KCNC4(-1.38209); GNGT2(-1.38209); KCNA1(-1.38209); KCNF1(-1.39663); GNG10(-1.40217); KCNA4(-1.40217); GNB1(-1.40217); GNG5(-1.41135); KCNQ2(-1.41301); KCNJ10(-1.41493); KCNJ5(-1.41603); KCNJ4(-1.41603); KCNA10(-1.41727); GNGT1(-1.43125); KCNJ1(-1.4369); KCNK18(-1.43992); KCNV2(-1.44307); KCNG3(-1.46438); KCNA2(-1.4683); HCN4(-1.49368); KCNAB2(-1.50275); KCNK16(-1.51681); KCNA5(-1.52646); GNG7(-1.56646); KCNG4(-1.59708); KCNK17(-1.60724); GNG4(-1.6123); KCNQ4(-1.6468); KCNJ15(-1.71796); KCNK9(-1.79354); KCNMB4(-1.79354); KCNK13(-1.82165); KCNH8(-1.82859); KCNN2(-1.83204); HCN1(-1.83893); KCNA6(-1.85595); GNG12(-1.88258); KCNB1(-1.94208); KCNK2(-2.1515); KCND2(-2.16505); KCND3(-2.18205); KCNMB2(-2.18919); KCNAB1(-2.19748); 
REACTOME_INTEGRATION_OF_ENERGY_METABOLISM	120	110	3.14077	3.39046	0.000348875	0.0228972	KCNJ11(3.3128); ADCY5(3.01851); ABCC8(2.82564); GIP(2.74581); AGPAT1(2.52822); KCNS3(2.45335); GLP1R(2.41169); ADCY7(2.16637); GRP(1.81129); SLC2A2(1.74435); GNAO1(1.7357); PRKACG(1.68229); PRKACB(1.64951); KCNC2(1.46849); GNA11(1.42198); GNB4(1.41698); ADCY2(1.28154); PRKAR1A(1.15443); MLXIPL(0.992185); TALDO1(0.982387); INS(0.977626); GNG13(0.913004); ACACA(0.849921); ACACB(0.790893); ITPR3(0.608323); ADCY8(0.576863); GATA4(0.478753); SNAP25(0.471211); ADCY1(0.469184); GNG2(0.379503); PRKAG2(0.376024); RAPGEF4(0.267968); GNAQ(0.186716); GNA14(0.15502); CHRM3(0.0855271); CACNB2(-0.0951711); ITPR2(-0.156894); PLCB1(-0.233191); GNB2(-1.13887); PRKACA(-1.13887); STK11(-1.13887); SPCS1(-1.16173); GNG8(-1.17098); SLC25A4(-1.18207); PKLR(-1.18207); GNG3(-1.18207); VAMP2(-1.19667); GNAI2(-1.21163); CACNB3(-1.21163); AKAP5(-1.22623); CDX2(-1.24043); FASN(-1.25419); RAP1B(-1.25419); STX1A(-1.28019); PLCB3(-1.29236); MLX(-1.30391); GNB3(-1.30391); PPP2R1B(-1.33446); PRKAR2A(-1.33446); KCNG2(-1.34313); FFAR1(-1.34313); MARCKS(-1.35098); STXBP1(-1.35796); GNA15(-1.35796); ISL1(-1.36403); PAX6(-1.36921); ADCY6(-1.3739); PPP2CB(-1.3739); GCG(-1.37819); SEC11A(-1.37819); PLCB2(-1.37819); GNGT2(-1.38209); PPP2R5D(-1.38563); SPCS2(-1.38883); ADRA2A(-1.39172); PPP2CA(-1.3987); PRKAB2(-1.40054); SYT5(-1.40054); GNG10(-1.40217); GNB1(-1.40217); ACLY(-1.40893); GNG5(-1.41135); CTNNB1(-1.41135); LEP(-1.41493); PRKAA2(-1.41493); GNAS(-1.41865); GNG11(-1.42616); GNGT1(-1.43125); DPP4(-1.434); ADCY4(-1.434); RAPGEF3(-1.45323); SPCS3(-1.46056); TKT(-1.47232); PCSK1(-1.48489); SLC2A1(-1.50275); GNB5(-1.50738); PPP2R1A(-1.55631); SEC11C(-1.56646); GNG7(-1.56646); GNG4(-1.6123); PRKAR2B(-1.64199); RAP1A(-1.65627); GNAI1(-1.66549); IQGAP1(-1.75058); ADCY3(-1.75418); GNG12(-1.88258); KCNB1(-1.94208); ADCY9(-1.95957); CACNA1A(-2.08085); PRKCA(-2.2394); 
BIOCARTA_AKAP95_PATHWAY	12	12	1.39733	3.34373	0.000413304	0.0257695	PRKACG(1.68229); PRKACB(1.64951); NCAPD2(1.49219); AKAP8(1.44106); PRKAG1(1.19481); DDX5(0.998563); CDK1(0.678244); PPP1CA(-1.17098); PRKAR2A(-1.33446); CCNB1(-1.35796); PPP2CA(-1.3987); PRKAR2B(-1.64199); 
REACTOME_RIP_MEDIATED_NFKB_ACTIVATION_VIA_DAI	18	17	1.809	3.32365	0.000444245	0.0263797	CHUK(3.17987); AGER(2.37428); NFKB2(1.52606); S100A12(1.19045); S100B(1.16372); APP(1.10077); HMGB1(1.05796); RELA(0.980934); SAA1(-1.30391); NFKBIA(-1.33446); NFKBIB(-1.35098); RIPK1(-1.36921); TLR3(-1.38563); TICAM1(-1.38883); IKBKB(-1.40893); RIPK3(-1.40976); ZBP1(-1.41493); 
PID_AP1_PATHWAY	70	68	9.44387	3.28435	0.000511082	0.0289691	CDKN2A(3.29108); TCF7L2(2.9259); FABP4(2.43508); BCL2L11(1.9455); MMP1(1.8478); TP53(1.84575); ACTA1(1.77654); IL2(1.66625); NPPA(1.44086); PLAU(1.43219); FOS(1.29267); ATF3(1.25532); CDKN1B(1.13406); CCND1(1.05514); IL5(0.985425); FOSB(0.913306); TH(0.91034); ELF1(0.887984); CDK1(0.678244); NFATC1(0.665586); IL6(0.619197); ESR1(0.540211); HLA-A(0.299871); NFATC2(0.176713); COPS5(-1.09373); JUNB(-1.13887); TGFB1(-1.22623); EGR1(-1.24043); JUN(-1.24043); FOSL1(-1.25419); MT2A(-1.29236); CBFB(-1.3148); SP1(-1.325); TRIP6(-1.34313); MMP9(-1.35098); PENK(-1.37819); MYC(-1.38563); DUSP1(-1.39431); BAG1(-1.39431); CSF2(-1.39663); GATA2(-1.39663); DMP1(-1.39663); JUND(-1.39663); IL8(-1.40054); CRTC1(-1.40054); NTS(-1.40492); PTEN(-1.40608); CYR61(-1.40608); GJA1(-1.40711); NFATC3(-1.40711); IL4(-1.40806); CREB1(-1.41056); IL10(-1.41056); HIF1A(-1.41056); EP300(-1.41056); CTNNB1(-1.41135); EDN1(-1.41135); DMTF1(-1.41301); FOSL2(-1.41301); CCL2(-1.41493); MAF(-1.42021); IFNG(-1.42863); MYB(-1.44972); NR3C1(-1.49818); ATF2(-1.63224); AGT(-1.66549); COL1A2(-1.68313); ETS1(-1.81467); 
BIOCARTA_RNA_PATHWAY	10	10	1.74256	3.25382	0.000569314	0.030394	CHUK(3.17987); NFKB1(1.89483); TP53(1.84575); EIF2S2(1.62415); RELA(0.980934); NFKBIA(-1.33446); EIF2S1(-1.3987); MAP3K14(-1.40711); EIF2AK2(-1.41393); DNAJC3(-1.41493); 
REACTOME_PRE_NOTCH_EXPRESSION_AND_PROCESSING	44	37	2.18434	3.2541	0.000568768	0.030394	NOTCH4(2.50353); E2F3(2.45492); NOTCH2(2.04808); TP53(1.84575); TNRC6C(1.46026); KAT2A(1.13406); MAML1(1.1068); SNW1(1.07704); CCND1(1.05514); TFDP1(1.02287); ATP2A3(0.880816); TMED2(0.875937); KAT2B(0.673057); TNRC6B(0.273301); MAML3(0.120298); MAML2(0.00356578); RFNG(-1.12031); E2F1(-1.12031); ATP2A1(-1.17098); LFNG(-1.19667); FURIN(-1.22623); JUN(-1.24043); POFUT1(-1.28019); ATP2A2(-1.34313); MFNG(-1.34313); MOV10(-1.36403); SEL1L(-1.38563); CREBBP(-1.3987); NOTCH3(-1.40806); EP300(-1.41056); RAB6A(-1.43125); POGLUT1(-1.44307); TNRC6A(-1.50738); RBPJ(-1.54124); B4GALT1(-1.59708); ST3GAL6(-1.6273); ST3GAL3(-1.8891); 
REACTOME_G_ALPHA_S_SIGNALLING_EVENTS	121	117	3.21764	3.2337	0.000610986	0.030394	PTH1R(3.34101); PDE2A(3.04537); ADCY5(3.01851); GIP(2.74581); GLP2R(2.55186); GLP1R(2.41169); ADCY7(2.16637); TAAR1(1.95437); FSHR(1.53686); GNB4(1.41698); CRHR2(1.35281); ADCYAP1R1(1.32373); ADCY2(1.28154); GIPR(1.24119); MC4R(1.18633); IAPP(1.15471); PTGER2(1.07343); ADCYAP1(1.03728); PDE3A(1.03684); MC3R(0.978036); HTR6(0.945525); GNAI3(0.943535); CRH(0.921827); GNG13(0.913004); PDE4B(0.870372); TAAR2(0.829974); HRH2(0.822472); CALCRL(0.801704); PDE10A(0.787319); HTR4(0.744699); ADCY8(0.576863); RXFP2(0.552167); MC2R(0.541447); ADCY1(0.469184); SCTR(0.437233); GNG2(0.379503); LHCGR(0.20359); TSHR(0.166827); PDE11A(0.134968); PDE4D(-0.013901); RAMP2(-0.949317); RLN3(-1.09373); GNB2(-1.13887); AVP(-1.13887); INSL3(-1.16173); SCT(-1.16173); GPBAR1(-1.17098); PTH2(-1.17098); GNG8(-1.17098); GNG3(-1.18207); ADM2(-1.18207); P2RY11(-1.18207); PTGIR(-1.19667); GNAI2(-1.21163); LHB(-1.22623); RLN2(-1.26745); MC1R(-1.28019); DRD5(-1.29236); PTGER4(-1.30391); ADORA2B(-1.30391); GNB3(-1.30391); ADM(-1.33446); POMC(-1.34313); FSHB(-1.35796); GHRH(-1.36921); ADCY6(-1.3739); PTH(-1.3739); GCG(-1.37819); ADORA2A(-1.37819); GNGT2(-1.38209); CALCA(-1.38209); ADRB1(-1.38563); ADRB2(-1.38883); TSHB(-1.39663); GHRHR(-1.39663); CALCB(-1.3987); GNG10(-1.40217); GNB1(-1.40217); PDE1B(-1.41056); GNG5(-1.41135); CGA(-1.41301); MC5R(-1.41301); PTHLH(-1.41393); VIP(-1.41727); GNAS(-1.41865); GNG11(-1.42616); PDE4C(-1.42616); GNGT1(-1.43125); ADCY4(-1.434); GNAZ(-1.434); DRD1(-1.43992); VIPR1(-1.43992); RAMP1(-1.44972); PTGDR(-1.45323); PDE7A(-1.45684); RXFP1(-1.46438); GNB5(-1.50738); TAAR8(-1.51207); PDE3B(-1.54124); TAAR6(-1.54623); TAAR5(-1.56646); NPS(-1.56646); GNG7(-1.56646); GNG4(-1.6123); VIPR2(-1.6123); GNAI1(-1.66549); PTH2R(-1.68734); RAMP3(-1.68734); HTR7(-1.71432); ADCY3(-1.75418); GNG12(-1.88258); ADCY9(-1.95957); PDE8A(-2.00995); PDE7B(-2.11676); PDE8B(-2.14357); NPSR1(-2.17587); PDE1A(-2.1995); 
REACTOME_TRAF6_MEDIATED_NFKB_ACTIVATION	21	20	1.91954	3.25821	0.000560594	0.030394	CHUK(3.17987); AGER(2.37428); NFKB2(1.52606); S100A12(1.19045); S100B(1.16372); APP(1.10077); HMGB1(1.05796); RELA(0.980934); MAP3K1(0.915015); RNF135(-1.00775); SAA1(-1.30391); NFKBIA(-1.33446); NFKBIB(-1.35098); TRIM25(-1.36921); MAVS(-1.37819); TRAF2(-1.38209); TRAF6(-1.40054); IKBKB(-1.40893); IFIH1(-1.45684); DDX58(-1.54623); 
REACTOME_ION_TRANSPORT_BY_P_TYPE_ATPASES	34	30	2.95822	3.19585	0.000697095	0.0321954	ATP2C1(1.78061); ATP9A(1.46349); ATP12A(1.32637); ATP2C2(1.26442); ATP9B(1.13097); ATP4A(1.10922); ATP2B2(0.993527); ATP2A3(0.880816); ATP8B3(0.716883); FXYD2(0.714042); ATP11A(0.686745); ATP10D(0.674918); ATP10A(0.383155); ATP8A2(0.177791); ATP8A1(0.166265); ATP8B4(-0.0110544); ATP1A3(-1.12031); ATP2A1(-1.17098); ATP4B(-1.22623); ATP1B2(-1.26745); ATP2A2(-1.34313); ATP1A1(-1.39431); ATP1A2(-1.42021); ATP1B3(-1.44307); ATP7B(-1.47642); ATP11B(-1.50275); ATP1A4(-1.51207); ATP1B1(-1.56646); ATP8B1(-1.76498); ATP10B(-2.17996); 
