Geneset	Gene	qvalue
GO_GROWTH_FACTOR_BINDING	ACVR2B ITGAV A2M FURIN PDGFA COL6A1 IGF1R TGFBR3 IL2RB IGFBPL1 FLT4 WISP3 CYR61 LTBP4 ACVR1 HTRA3 IGFBP3 IL1RN PDGFRB FGFBP3 IGFBP6 IL10RA NRP2 INSR NTRK2 IGFBP5 KDR ERBB3 NRP1 FGFR3 KL NKD2 LTBP2 PDGFRA ENG FLT1 NGFR THBS1 NOV CXCL13 S100A13 ERBB2 NTRK1 CEP57 IGF2R WISP2 IL1RAPL1 FIBP LTBP3 IGFALS PDGFB CTGF COL2A1 OSMR IGFBP4 IL36RN ACVRL1 IGFBP1 HAP1 RHBDF2 FGFBP2 PXDN GHR IL2RA API5 ACVR1B TEK LIFR HTRA1 FGFRL1 COL1A1 TGFB3 CD36 TGFBR1 VASN RPS19 CD109 ACVR2A KAZALD1 IL2RG SDCBP BMPR2 TGFBR2 NTRK3 PTN FGFR2 DUSP1 KLB WISP1 COL3A1 RHBDF1 SRPX2 RPS2 NTF3 PCSK6 SEC61B TRIM16 HYAL2 HSPA9 GPC1 LTBP1 PTPRZ1 GLG1 GHRHR COL5A1 FGFR1 NRD1 FGFR4 IGFBP7 IL6R FGFBP1 IL6ST HTRA4 ACVR1C COL1A2 ESM1 IGFBP2 SCN5A FSTL4 SORT1 CRIM1 COL4A1 HAX1	1.12327627567958e-08
GO_REGULATION_OF_ENDOTHELIAL_CELL_MIGRATION	ANXA3 CXCL13 BMP4 SLIT2 SP100 PRCP ANGPT1 THBS1 DAB2IP AGTR2 PTK2B SPARC CCR2 RHOB PDGFB FOXP1 AMOTL1 PROX1 PTGS2 ACVRL1 ZC3H12A FGF1 BCAR1 GPLD1 VASH1 STARD13 VEGFA TDGF1 WNT5A SEMA4A FLT4 HDAC7 ROCK2 BCAS3 APOE PLCG1 BMPER CIB1 STAT5A C13orf15 CCBE1 WNT7A PDCD6 AGER EPHA2 NR2F2 ITGB3 NRP2 VEGFC ZNF580 KRIT1 SH3BGRL3 GPR124 KDR NOTCH1 NRP1 ATOH8 FGF18 RHOA CCDC23 MAPK14 ANGPT2 SEMA5A EMP2 GDF2 ITGB1BP1 FOXC2 APOH TGFB1 HSPB1 PRKCA AGT KLF4 PDCD10 FGF16 DLL4 SCARB1 PTPRM FGFR1 PTK2 ALOX12 MET EDN1 SYNJ2BP FGF2 AKT1 NF1 PPAP2B AAMP DCN CSNK2B PDPK1 HMGB1 ANGPT4 HDAC9 PRKD1 TEK SASH1 HRG BMP10 MMRN2 PRKD2 FGF4 SRPX2 HDAC5 MAP2K5 STC1 ETS1 AMOT EFNA1 SERPINF1 GATA3 BMPR2 NR2E1	1.12327627567958e-08
GO_VASCULAR_PROCESS_IN_CIRCULATORY_SYSTEM	ANGPT1 PTP4A3 SRC AGTR1 ADRA2A AVPR1A HTR2A GCH1 CHGA GPX1 TACR2 F2RL1 UTS2D SLC8A1 SOD1 AGTR2 TACR1 PTGS1 HMOX1 ATP1A2 ADRA1A NOS1 ATG5 ADCY6 APOE P2RX1 DRD1 GCLM OXTR PLA2G6 DBH PLOD3 PTGER3 PRKG1 APLN NTS PTAFR LEP PIK3C2A ESR2 AVPR1B KCNJ8 AGT ADRA2B TGFB1 FOXC2 P2RY1 EDNRB ADRB3 CTNNBIP1 EDN1 SERPINF2 HRH2 HTR7 ADRB1 RAMP2 UCN ALOX12 ADCYAP1 F2R KNG1 PDE3A HTR1D SHC1 ADRA2C HMGCR ADM ALOX5 BDKRB2 GCLC BMPR2 VEGFB ACCN1 PER2 GJA5 HRH1 CPS1 INS ARHGAP35 ADORA2B TRPV4 SLIT2 RGS2 TRPM4 VEGFA AVP ACE ABR PTGS2 UTS2 CRP CALCA BCR KCNMB4 PTPRJ NPPB EDNRA ICAM1 MTNR1B SMTNL1 CX3CL1 EDN3 NPPC PPARD DOCK5 ACTA2 GPER ADORA1 KAT2B EDN2 P2RY2 KCNA5 FGFBP3 SCPEP1 PRKCQ FGG GJA1 AVPR2 NOS2 ITGA1 CHRM3 DOCK4 KCNMB2 HTR1A ITGB1BP1 YES1 MKKS GUCY1A3 NPR1 VIP SOD2 ADRA1B CD38 NPY1R PDE2A PTPRM AZU1 HIF1A KEL CAV1 UTS2R TEK SLC6A4 ACE2 HTR1B BBS2 HBB TBXA2R CHRM1 NPPA AKT1 FGB AMOT FGA HTR2B ADRB2 FOXC1 NOS3 ADRA1D EPHX2 ECE1 DRD5 MYLK3	1.26157342727367e-08
GO_LEUKOCYTE_CHEMOTAXIS	VAV1 FFAR2 RPS19 CCR5 PF4V1 IL17RA TNFSF11 LGALS3 CXCR2 CCL1 HRH1 CCL18 CCL2 CSF3R CCL7 IL6 HMGB1 IL1B VAV3 CCL24 CCL16 CCL11 IL16 PF4 CX3CR1 ANO6 AMICA1 SCG2 IL10 PIK3CG IL6R EDN1 CXCL16 KIT C5AR1 AZU1 CCL4 CCL22 CCL13 SYK CCL23 PIP5K1C ITGA1 CXCL10 ITGA9 SBDS CCL19 NUP85 EMR2 S100A9 EDNRB CXCR3 CXCL11 PREX1 CCL15 ADAM8 PPBP FOLR2 CCR1 CCR7 CCL4L2 LYST NCKAP1L S100A8 PLA2G1B PDE4B ARHGEF5 CCR6 CORO1A CXCL3 ITGB2 EDN2 PIK3CD CCL8 CXCR1 EDN3 CX3CL1 IL8 CXCR4 CCL14 CXADR CCL20 PDGFB PTPRO CHGA CCL21 CCL5 CKLF TRPM4 TNFRSF11A VEGFA RAC1 XCL2 ANXA1 SAA1 CCL17 CCR2 CALCA IFNG FLT1 TGFB2 CCL25 GBF1 FCER1G PDE4D CCL26 S100A12 GAS6 CCL3L1 CXCL13 SFTPD LBP CCL3L3 XCL1 TREM1 CCL3 IL17RC	2.34069157396363e-08
GO_NEPHRON_DEVELOPMENT	SMO HEYL ADAMTS16 PKD2 HES5 CD24 WNT1 CITED1 TFAP2B TCF21 NID1 FGF2 GATA3 PTCH1 ACAT1 PAX2 FGF8 GDNF PAX8 PBX1 MTSS1 WT1 HOXD11 MYC SOX8 NPHS1 PGF SIX1 JAG1 FOXC2 NOTCH3 KLF15 NOG WNT4 MAGI2 LHX1 CTNNBIP1 ANGPT2 DLG1 IQGAP1 BCL2 COL4A4 GPR4 SHH HNF1B DCHS1 HOXA11 ITGA3 SALL1 SIX2 IRX1 WNT11 FOXJ1 WNT6 OSR1 LAMB2 AHI1 CD34 MPV17 GREM1 NPHS2 MYO1E KIF26B HES1 WNK4 PLCE1 TACSTD2 SULF2 ACTA2 LGR4 EYA1 DLL1 UMOD NOTCH1 ENPEP WWTR1 EGR1 SULF1 PDGFRB LAMA5 POU3F3 WNT7B FMN1 PROM1 ANGPT1 NPNT PODXL PDGFRA GZF1 MEF2C ILK GLI3 BMP2 SMAD4 CTNNB1 KIRREL3 GPC3 BMP4 BASP1 BMP7 FAT4 IRX2 FGF1 PKD1 PDGFB PTPRO CALB1 COL4A3 PECAM1 VANGL2 KLHL3 SOX9 FOXD1 IRX3 WNT9B	3.38905958803023e-08
GO_VOLTAGE_GATED_ION_CHANNEL_ACTIVITY	KCNQ5 CACNB3 KCNB1 TMC1 CALHM1 KCND3 KCNB2 KCNJ15 KCNH4 KCNK7 KCNK15 CACNA2D1 CLIC5 GRM7 SCN3B KCNA5 KCNC3 KCNQ2 CNGA1 KCNAB2 KCNJ14 CACNA1S KCNT2 KCNIP1 CACNA1B SCN7A CACNA1F GAS6 KCNK5 SCN1A KCNK2 IL1RAPL1 CLIC2 CLIC3 HCN4 CATSPER4 HCN3 KCNE4 CACNG1 BSND CLCN3 KCNH7 KCNK6 CATSPER1 KCNC1 CNGA3 TPCN1 CNGA4 HCN1 GPR89B KCNJ2 KCNJ18 SCN4B KCNG1 CLCNKA KCNJ16 KCNH5 CLCN7 KCNAB1 KCNH8 PKD2 KCNG4 CACNA1I KCNQ4 KCND2 CACNB1 CYBB SCN10A KCNAB3 KCNS1 KCNT1 KCNK4 ANO1 TPCN2 KCNJ13 KCNH6 SCN8A KCNU1 KCNA3 CLCN4 NALCN NCS1 RYR1 KCNS2 CLIC4 KCNA6 CACNA2D3 KCNK17 ABCC8 CACNA1H KCNG2 SCN5A KCNIP2 CACNG2 KCNG3 SLC17A3 CLCN1 KCNJ12 KCNA2 CACNB2 KCNK12 TMEM37 KCNA1 TMC2 CACNA1G KCNK3 HTR3A KCNJ1 ITGAV CACNA2D2 CLCN5 CACNA1E OPRM1 KCNIP3 SCN4A KCNJ4 SCN1B GPR89A CACNG7 CACNG6 KCNJ11 CLCNKB CACNG5 KCNE1L KCNC2 VDAC2 TMEM109 KCNV1 CLCN2 CACNG8 KCNQ1 KCNIP4 SCN11A KCNJ6 KCNE2 KCNS3 KCNH1 CACNA2D4 CATSPER2 HCN2 CATSPER3 KCNJ3 NOX1 KCNJ9 KCNE1 CACNG4 KCNJ5 KCNA7 CACNA1C CACNG3 ANO6 SCN3A SCN2A CNGA2 CNGB1 KCNQ3 KCNE3 KCNA10 KCNC4 KCNJ10 VDAC1 CLIC1 KCNMA1 KCNK1 KCNH2 CLCA3P KCND1 SCN9A KCNV2 REST KCNK10 TRPM5 VDAC3 CACNA1A KCNA4 CLIC6 KCNJ8 CLCN6 CNGB3 GRIN1 KCNK9 HVCN1 KCNK16 KCNH3 CACNB4 SCN2B KCNK13 KCNF1 KCNK18 CACNA1D	4.54359155248511e-08
GO_EPITHELIAL_CELL_PROLIFERATION	TEK IL6 HMGB1 ANGPT4 PSEN1 COL8A1 PTCH1 TNFSF11 BMPR2 PRKX ACVR2A NKX3-1 BTRC MTSS1 SDR16C5 BAX FGFR2 FSHB LGR5 PIK3CB ID2 CDH13 EREG CEBPB KLK8 FABP7 IRF6 ITGB1BP1 NOX5 C6orf89 SEMA5A DLG1 APOA1 MKI67 HNF1B SHH SIDT2 SCARB1 C19orf80 TNF KIT STAT6 ADK BAD HMOX1 BMPER CD34 MAP2K1 WNT16 PPARD LOXL2 WNT5A IGFBP3 RPS6KA1 ERN1 FGF10 AREG FOXN1 FERMT1 LGR4 NRARP IGFBP5 THAP1 FAP ESR2 MAPK1 EPHA2 MMP14 ESR1 BTBD10 BCL2L2 NOV TP63 KRT2 MEF2C BMP4 MED1 NCSTN MAP2K2 PROX1 EHF IGFBP4 ACVRL1 XBP1 CALCA CCND1 NKX6-1 SOX9 COL8A2	4.97867730443401e-08
GO_PROTEIN_SECRETION	CAMK2G GATA3 PCLO GNPTAB SNX19 MON1A RAB11FIP2 EIF2AK3 PPY CYB5R4 SLC18A2 TLR6 RAPGEF4 RIMS2 AIM2 HMGB1 ABCA1 UBE2Q1 FAM3B SCG2 CBLN1 CD36 ARFGAP3 LAX1 TLR2 NECAB3 OLFM2 TRAF3IP2 AKAP5 RAB11FIP5 FAM18B2 MAFA FKBP1B CPLX1 HNF1B LYN LMF1 STEAP3 HNF1A LCP2 RAB13 EPB49 SNCG CCL19 AGT POU2F2 FAM18A NOS2 KLRF2 MYO5A FFAR1 GNAS TLR4 PLDN STXBP3 PDIA4 PDX1 VIP NOX5 NOD2 PAFAH1B1 NLRC4 VTCN1 RAF1 IL1RN CCR7 GBP5 CCDC23 SMAD2 RBPJ LTBP2 PLEK CPLX3 PNP NOTCH1 LEP CANX PCSK5 FGG TRIM27 WLS LILRB1 VGF ACVR2B GPR119 RAB8A GOLPH3 TACR2 RAB8B FOXP1 SLC30A8 NEUROD1 F2RL1 NLRP3 CHI3L1 PTPRN2 RAB11B PTPRN ERP29 ANXA1 GAL S100A12 CCKAR MC4R BTN3A2 BLOC1S3 CBLN4 CD40LG ILDR2 BTN3A1 TREM1 ARL4D NR1H4 S100A13 GPAM RAB1A	5.98470135255078e-08
GO_POSITIVE_REGULATION_OF_LEUKOCYTE_MIGRATION	ZP3 FADD TNFRSF18 ANO6 PF4 HMGB1 IL6 CCL7 DAPK2 CCL2 CCL24 PYDC1 PLVAP IL1B RAC2 LGALS3 BDKRB1 CXCL9 ITGA4 VEGFB PF4V1 RARRES2 CXCL11 CMKLR1 IL12A C1QBP PYCARD MIA3 CXCL12 SELP CXCL5 S100A14 CCL19 CREB3 CXCL10 CCL4 CXCL1 C5AR1 TNF C3AR1 PLA2G7 IL23A SWAP70 F7 CD74 PTGER4 IL6R WNT5A ADAM17 TMEM102 ITGA2B IL8 CALR CCL8 CSF1 CXCL2 TACR1 CX3CL1 EDN3 ZNF580 VEGFC NCKAP1L EDN2 CXCL6 CXCL3 PTAFR PAWR CCR6 FIGF PTGER3 ADAM8 PPBP SERPINE1 S100A7 CCR7 CCR1 THBS4 XCL1 LBP CAMK1D CXCL13 GAS6 PDGFD TIRAP CXCL14 CCL3 GPSM3 MADCAM1 TRPV4 AIF1 LGALS9 THBS1 ITGA2 TNFRSF14 ICAM1 PTK2B TNFSF14 F2RL1 CCR2 EDNRA KITLG IL4 TNFSF18 CCL20 RAC1 VEGFA CCL5 ADAM10 CCL21	5.99725964533225e-08
GO_EMBRYONIC_SKELETAL_SYSTEM_DEVELOPMENT	MTHFD1L HOXC9 NOG AXIN1 HOXA3 LHX1 DLG1 SLC39A3 SHOX2 TWIST1 MBTD1 KIAA1217 PRRX1 HOXD10 SIX1 RUNX2 GNAS FOXC2 NKX3-2 HOXA11 HOXA9 HOXA2 SIX2 TAPT1 HOXD3 SP3 RDH10 WNT11 PAX7 MEGF8 OSR2 SHH TGFBR1 FGF9 IRX5 ALX3 COL11A1 COL1A1 TGFB3 ALX4 MYCN HOXB1 EXT1 MKS1 PCGF2 MMP16 DEAF1 NIPBL PBX1 SIX4 EIF4A3 HOXB3 FGFR2 FUZ T GRHL2 TGFBR2 ACVR2A PAX5 TFAP2A DSCAML1 HYAL1 MEF2C HOXB7 GLI3 CTNNB1 TULP3 HOXB6 BMP4 SLC35D1 HOXD1 SOX11 WNT9A HOXC11 PDGFRA HOXB5 MDFI HOXD4 HOXC6 HOXB2 MTHFD1 HOXB8 MYF5 HOXA5 TBX15 HOXD9 SPEF2 WNT9B DLX2 HOXA7 BMP7 HOXA1 HOXA6 TBX1 DMRT2 RBP4 COL2A1 FLVCR1 MED12 NODAL SCXB WNT5A SETD2 SLC39A1 DLX1 ALX1 SATB2 OSR1 WDR19 SMAD3 HOXB4 PCSK5 MMP14 SULF1 CHST11 ZEB1 HOXB9 SULF2 GSC NDST1 EYA1 SMAD2	6.80530051333341e-08
GO_SYNAPSE_ORGANIZATION	CDH2 FBXO45 WNT3A PCDHB4 SNCB RYK PCDHB9 P2RX2 DRD2 RER1 PCDHGC3 GDNF ETV5 PCDHB10 FNTA FARP1 CDK5 PCDHB13 LRRC4 LRP4 NLGN4X MECP2 NRXN1 FZD1 SNCG CEL CACNA1A LPHN3 F2R COL4A1 CACNB4 SHANK1 NFIA BSN UNC13B APOE AGRN UTRN GNPAT SDK2 POU4F1 DRD1 ANK3 PTEN FZD5 PCDHB14 GLRB WNT7A LAMB2 CACNA2D2 NRCAM LRRK2 PDZRN3 SEZ6 LRRTM4 NLGN4Y NLGN2 SEZ6L KIRREL3 TNR CTNNB1 SHANK3 DNAJA3 SNCA DRP2 NLGN3 ACHE COL4A5 BDNF CDH1 SPTBN2 UNC13A ATP2B2 PAK3 NEDD4 PCDHGC5 FLRT3 SLC9A6 SHANK2 DNER ALS2 ZC4H2 PCDHB3 CACNB1 CTNND2 PCLO LRRTM1 CHRNA1 CHD4 DSCAM MAGI2 NFASC DBNL RAB39B CLSTN3 GPM6A KLK8 PIN1 PCDHB16 RELN MYO5A COLQ DVL1 NLGN1 MUSK CACNG2 RAB3A NRG1 CACNB2 NRD1 GJA10 PCDHB11 DLG4 WNT5A RAPSN CACNB3 NRXN3 SDK1 CHRNB1 ELFN1 PCDHB2 APP NTRK2 LRRTM2 DNM3 PCDHB6 PALM AFG3L2 SNAPIN PCDH17 IL1RAPL1 PLXND1 CNTN2 ERBB2 TNC WNT7B PTPRD NRXN2 SEMA3E GPHN PCDHB5 SLITRK6 TSC1 GLRA2 SPOCK2	7.08221570049144e-08
GO_POSITIVE_REGULATION_OF_ENDOTHELIAL_CELL_MIGRATION	PDCD6 WNT7A CCBE1 STAT5A CIB1 FLT4 HDAC7 ROCK2 BCAS3 PLCG1 TDGF1 WNT5A FGF18 MAPK14 KDR GPR124 ATOH8 NRP1 ZNF580 VEGFC NRP2 ITGB3 THBS1 ANGPT1 BMP4 ANXA3 BCAR1 VEGFA GPLD1 PROX1 AMOTL1 FOXP1 PDGFB RHOB ZC3H12A PTGS2 CCR2 PTK2B SPARC TEK PRKD1 HDAC9 ANGPT4 PPAP2B AAMP FGF2 AKT1 BMPR2 GATA3 AMOT ETS1 PRKD2 SRPX2 SASH1 PRKCA AGT FOXC2 TGFB1 HSPB1 ITGB1BP1 SEMA5A EDN1 FGFR1 MET ALOX12 SCARB1 FGF16	8.29296788006007e-08
GO_EXTRACELLULAR_MATRIX_COMPONENT	MFAP2 COL4A2 MFAP5 SMOC2 COL27A1 LAMA3 EGFL6 VWA1 LAMA5 FBN2 LAMB4 THBS2 THBS4 MFAP1 FRAS1 VWA2 DAG1 AGRN EFEMP2 ITGB1 LOXL2 COL6A1 CASK LAMA1 MUC5AC LEPREL1 LAMB2 ODAM CD151 LAMA2 COL17A1 LAD1 LAMB1 COL4A3 ACHE ADAMTSL5 LUM ITGA6 NTN4 COL4A5 COL8A2 COL28A1 SPARC FBLN5 HMCN1 DST AMTN VWC2 SMOC1 FREM3 TGFBI COL2A1 SPN HSPG2 TNR SNCA NTN1 TNC ANXA2 EFEMP1 APLP1 NPNT CCDC80 FBN1 ENTPD2 SLC1A3 COL3A1 EGFLAM MMRN2 PTN SERPINF1 ADAMTS10 LAMB3 RELL2 COL5A2 SMC3 FGF9 TIMP3 ANG COL1A1 TNXB COL8A1 COL11A1 COL7A1 TINAG NID1 ALB ERBB2IP MFAP4 COL14A1 COL11A2 LAMC3 DCN NID2 ELN FREM1 COL6A3 COL4A1 COL4A6 MEGF9 COLQ FBLN1 LAMA4 FREM2 COL15A1 LAMC1 COL1A2 TIMP1 COL4A4 COL18A1 COL12A1 USH2A LAMC2 COL5A1 LTBP1 PTPRZ1 THSD4 GSTO1 DLG1 LOXL1 ANXA2P2 ADAMTS1 COL5A3 MATN2 FN1	8.49964347201085e-08
GO_DEVELOPMENTAL_MATURATION	RUNX2 CDKN1C STXBP1 SCLT1 AP1M1 CEBPA CCL19 GJA1 ID2 LYL1 BFSP2 INSL3 CABYR NFASC RYR1 BSPH1 IL15 RAB32 SOX10 DDIT3 TAL1 RAB3A BRCA2 BTK C19orf80 HIF1A KCNIP2 DCHS1 ACRBP GLDN PICALM CNTNAP2 L3MBTL3 FARP2 SLC17A7 PHOSPHO1 PABPC1L EPAS1 FEM1B DLD PICK1 ANKS1A IL21 GATA3 SOX8 SEMA4D TGFB2 MAEA CATSPER4 AP3D1 TMEM79 FBXO5 THBS3 CLN5 CNTN2 SLC26A3 GNAQ BMP2 PTH1R SEPT4 ACVRL1 CFTR ROD1 VEGFA CCL21 G6PD CEND1 NKX6-1 TDRD5 TMEM146 XBP1 CBFB TYMS AXL MYOC SPINK5 HOXB13 RET TRIP13 SYP LGI4 HES1 FOXO3 PCSK4 DLG4 PALM ABHD2 RHOA NR4A2 SNAPIN CATSPERB CCNB1 ASCL1 ERCC2 APP FAM20C CACNA1A EREG ZDHHC15 POU2F2 BFSP1 NRXN1 VSX1 GHRHR MTCH1 PLDN RB1 SIX3 KLF2 NFIA REN FGFR1 CDK5R2 GH1 PDE3A RFX3 MMP2 GRIN1 SHANK1 ALDH1A2 RERE CDK5R1 FEV WNT1 RXFP2 TFCP2L1 CDH5 HES5 BHLHA15 EPO IQCF1 CD63 CATSPER3 LHX6 ANG ANO6 ARCN1 IRX5 SCARF1 PAX2 MECP2 CDC25B GATA2 GDF11 EPHA8 CDKN1A BLOC1S3 CTNNB1 DMC1 HBZ MUTED SOX18 PLXNB1 RAB38 RECK SLC26A8 REC8 S1PR1 FAT4 PLD6 UNC13A AP1G1 RNASE9 PTK2B SPTBN4 ANKRD27 DAZL HOXA5 NTN4 RPS6KA2 FOXA1 EPB42 FZD5 PTEN PRKACA PPARG RND1 AGPAT6 AGRN PLP1 IGF1 FLVCR1 SLC26A6 SEZ6L DAG1 SEZ6 FGFR3 RBPJ KIAA0196 TUSC2 ANKRD17 NRCAM LEP	8.93794881667448e-08
GO_POSITIVE_REGULATION_OF_CHEMOTAXIS	VEGFC TIAM1 ZNF580 PDGFRB NCKAP1L CXCL3 EDN2 CXCL6 NRP1 CCR6 KDR FIGF PPBP SERPINE1 FGF18 CCR1 CCR7 FGF10 S100A7 THBS4 WNT5A ADAM17 F3 TMEM102 IL8 CALR CXCL2 AKT2 CSF1 SMAD3 EDN3 CX3CL1 STX3 ARTN PTK2B CCR2 F2RL1 TNFSF14 EDNRA PDGFB TNFSF18 IL4 VEGFA RAC1 S1PR1 ADAM10 CCL21 CCL5 LBP CAMK1D XCL1 GAS6 CXCL13 TIRAP CXCL14 PDGFD SLIT2 CCL3 GPSM3 TRPV4 AIF1 ITGA2 THBS1 LGALS9 RAC2 NTRK3 CXCL9 PRKD2 BMPR2 PF4V1 VEGFB RARRES2 PPM1F FGF2 ANO6 SCG2 LPAR1 IL16 PF4 CCL7 HMGB1 IL6 CCL2 DAPK2 STX4 IL1B PRKD1 CCL4 CXCL1 FGF16 C3AR1 AZU1 C5AR1 IL23A PLA2G7 MET SWAP70 F7 CD74 FGFR1 MEGF8 IL6R C1QBP IL12A CXCR3 CXCL11 CMKLR1 SEMA5A DSCAM CXCL12 CXCL5 HSPB1 TGFB1 NTF3 S100A14 CCL19 CXCL10 FN1 CDH13 CREB3	9.11541609222216e-08
GO_REGULATION_OF_EPITHELIAL_CELL_MIGRATION	SOX9 PTK2B AGTR2 CCR2 CTSH ZC3H12A PROX1 RHOB BCAR1 FGF1 BMP4 CXCL13 SP100 EPB41L5 ANGPT1 SRC DAB2IP TAC1 THBS1 NRP2 ZNF580 EPHA2 NRP1 CCR6 GPR124 CCDC23 FGF10 STRAP SEMA4A TDGF1 EPB41L4B BCAS3 ADAM9 APOE FLT4 ROCK2 STAT5A CIB1 BMPER TACR1 WNT7A GLIPR2 CLASP2 SCARB1 MACF1 ALOX12 MARVELD3 PTK2 EVL FGFR1 EDN1 ANGPT2 ENPP2 EMP2 TGFB1 HSPB1 FOXC2 AGT RAB25 MMRN2 SASH1 BMP10 FGF4 PBLD CLASP1 NR2E1 BMPR2 TGFBR2 SERPINF1 EFNA1 PFN1 CD63 PPM1F FGF2 SYNJ2BP HDAC9 ANGPT4 PDPK1 HMGB1 CSNK2B ARSB PRKD1 SPARC IFNG PTGS2 ACVRL1 PTPRR AMOTL1 FOXP1 IL4 PDGFB STARD13 VEGFA GPLD1 VASH1 ANXA3 CAPN7 SLIT2 PRCP TGFB2 ITGA2 SEMA3A KRIT1 VEGFC ITGB3 NR2F2 VIL1 AGER ATOH8 NOTCH1 FGF7 KDR SH3BGRL3 PFN2 MAPK14 RHOA FGF18 TACSTD2 WNT5A PLCG1 CORO1C HDAC7 PDCD6 C13orf15 HAS2 CCBE1 FGF16 PDCD10 HIF1A HDAC6 PTPRM DLL4 ITGA3 MET MCC PTPRG MMP9 SEMA5A INSL3 PRKCE ITGB1BP1 GDF2 APOH RREB1 KLF4 JUN PRKCA HBEGF HRG PTPN23 SRPX2 PRKD2 AMOT ETS1 STC1 HDAC5 MAP2K5 HYAL1 GATA3 AKT1 AAMP NF1 PPAP2B RAB11A DCN TEK	1.44214721203669e-07
GO_CATION_CHANNEL_COMPLEX	KCNJ1 CTTN CACNA1G PRKACA KCNIP3 MCU CACNA1E NOS1 C22orf32 CACNA2D2 CACNG7 CACNG6 KCNJ4 SCN1B TRDN SCN4A NOS1AP KCNC2 KCNE1L HERPUD1 KCNJ11 CAMK2D KCNV1 PDE4D CASQ2 KCNIP4 KCNQ1 CACNG8 TRPC5 MICU1 SCN11A KCNJ6 PKD2L1 DLG2 CCDC109B HCN2 CATSPER2 CACNA2D4 KCNH1 KCNE2 KCNS3 CACNG3 CACNA1C ATP2A1 KCNA7 KCNJ5 CACNG4 KCNE1 KCNJ3 CATSPER3 AKAP6 KCNQ3 KCNE3 SCN3A SCN2A PPP2R4 KCNC4 KCNA10 CALM3 KCNH2 KCNK1 PKD1L1 KCNMA1 ABCC9 SCN9A KCND1 KCNJ8 KCNA4 AKAP9 CACNA1A KCNV2 LRRC26 SCN2B CACNB4 KCNN1 KCNMB3 CACNA1D HSPA2 TRPC4 KCNF1 SCNN1G DLG4 KCNB1 CACNB3 KCNQ5 CALM2 KCNH4 KCNB2 KCND3 AMIGO1 KCNA5 KCNC3 SCN3B SNAP25 CACNA2D1 PDE4B ASPH SCN7A CATSPERB KCNIP1 CACNA1B KCNT2 KCNAB2 CACNA1S KCNJ14 KCNQ2 SCN1A KCNK2 CNTN2 CACNA1F SESTD1 CACNG1 CATSPER4 SUMO1 KCNC1 KCNMB4 CATSPER1 KCNK6 TMEM146 PKD1L3 RYR2 CALM1 KCNMB1 KCNJ2 CNGA4 C1orf101 CNTNAP1 KCNJ16 STX1A SCN4B KCNG1 KCNG4 CNTNAP2 EFHA1 KCNAB1 SCN10A VAMP2 CACNB1 KCNQ4 DPP6 KCND2 CACNA1I CATSPERG KCNK4 KCNS1 KCNT1 KCNN4 KCNS2 KCNU1 KCNA3 SCNN1B SCN8A SCNN1A KCNG2 CACNA1H ABCC8 KCNMB2 CACNA2D3 KCNA6 KCNG3 CACNG2 SCN5A KCNIP2 KCNA1 FKBP1B CACNB2 KCNA2	2.35483399097983e-07
GO_KIDNEY_EPITHELIUM_DEVELOPMENT	DLG1 IQGAP1 CTNNBIP1 EPHA4 LHX1 MAGI2 WNT4 NOG KLF15 JAG1 FOXC2 PGF SIX1 TGFB1 NPHS1 FOXJ1 IRX1 WNT11 SIX2 SMAD5 SALL1 SMAD1 HOXA11 DCHS1 HNF1B SHH FGFR1 SIM1 BCL2 FGF2 TCF21 TFAP2B CITED1 RARA CAT SMAD6 WNT1 CD24 HES5 ADAMTS16 PKD2 HEYL SMO SOX8 FGFR2 CRLF1 WT1 HOXD11 MYC GDF11 FOXC1 MTSS1 PBX1 PAX8 GDNF PAX2 FGF8 ACAT1 PTCH1 GATA3 BMP4 BASP1 GPC3 CTNNB1 SMAD4 BMP2 GLI3 SLIT2 ILK MEF2C GZF1 SFRP1 PODXL NPNT SDC1 PROM1 FMN1 WNT7B EPHA7 WNT9B IRX3 FOXD1 SDC4 SOX9 KLHL3 ROBO2 PECAM1 CALB1 ARG2 PTPRO PKD1 SMAD7 IRX2 FAT4 FGF1 BMP7 WNK4 HES1 KIF26B MYO1E NPHS2 GREM1 AHI1 SMAD3 CER1 BMPER CD34 EFNB2 LAMB2 RET OSR1 WNT6 POU3F3 LAMA5 SMAD9 UMOD NOTCH1 RARB DLL1 SMAD2 EYA1 EPCAM LGR4 SPRY1 TACSTD2	2.68804032126696e-07
